"CN_PPIDate","CN_PPI","CN_PPI_hpft","CN_PPI_hpfc"
2023-05-01,-4.6,-3.65109704896278,-0.948902951037215
2023-04-01,-3.6,-2.80439602636573,-0.795603973634268
2023-03-01,-2.5,-1.95848575622788,-0.541514243772124
2023-02-01,-1.4,-1.11481999431978,-0.285180005680221
2023-01-01,-0.8,-0.275303758281836,-0.524696241718164
2022-12-01,-0.7,0.557920284240871,-1.25792028424087
2022-11-01,-1.3,1.38227221873514,-2.68227221873514
2022-10-01,-1.3,2.19412386378425,-3.49412386378425
2022-09-01,0.9,2.98761181112251,-2.08761181112251
2022-08-01,2.3,3.75396088259763,-1.45396088259763
2022-07-01,4.2,4.48265622354828,-0.282656223548283
2022-06-01,6.1,5.16197134524417,0.938028654755835
2022-05-01,6.4,5.77994421210212,0.620055787897883
2022-04-01,8,6.32539447908455,1.67460552091545
2022-03-01,8.3,6.78765851431043,1.51234148568957
2022-02-01,8.8,7.15746819049946,1.64253180950054
2022-01-01,9.1,7.42681566494291,1.67318433505709
2021-12-01,10.3,7.58906187143986,2.71093812856014
2021-11-01,12.9,7.63896206406848,5.26103793593152
2021-10-01,13.5,7.57353061201427,5.92646938798573
2021-09-01,10.7,7.39416608274255,3.30583391725745
2021-08-01,9.5,7.10720576820865,2.39279423179135
2021-07-01,9,6.72174182196565,2.27825817803435
2021-06-01,8.8,6.24886039275978,2.55113960724022
2021-05-01,9,5.70154617781892,3.29845382218108
2021-04-01,6.8,5.09490982404377,1.70509017595623
2021-03-01,4.4,4.44681068985344,-0.0468106898534368
2021-02-01,1.7,3.77652904214697,-2.07652904214697
2021-01-01,0.3,3.10330613891522,-2.80330613891522
2020-12-01,-0.4,2.44465279728059,-2.84465279728059
2020-11-01,-1.5,1.81574374591636,-3.31574374591636
2020-10-01,-2.1,1.22938316949813,-3.32938316949813
2020-09-01,-2.1,0.69561213291325,-2.79561213291325
2020-08-01,-2,0.221697215074387,-2.22169721507439
2020-07-01,-2.4,-0.187424681883167,-2.21257531811683
2020-06-01,-3,-0.528668070169994,-2.47133192983001
2020-05-01,-3.7,-0.800791274761733,-2.89920872523827
2020-04-01,-3.1,-1.00461206390901,-2.095387936091
2020-03-01,-1.5,-1.14336421313335,-0.356635786866646
2020-02-01,-0.4,-1.22202765456978,0.822027654569782
2020-01-01,0.1,-1.24587951684232,1.34587951684232
2019-12-01,-0.5,-1.2195119055296,0.719511905529596
2019-11-01,-1.4,-1.14639535994607,-0.253604640053934
2019-10-01,-1.6,-1.02940082615172,-0.570599173848282
2019-09-01,-1.2,-0.871610587406478,-0.328389412593522
2019-08-01,-0.8,-0.676582426281936,-0.123417573718064
2019-07-01,-0.3,-0.448147783193386,0.148147783193386
2019-06-01,0,-0.190240946534266,0.190240946534266
2019-05-01,0.6,0.0933272517879857,0.506672748212014
2019-04-01,0.9,0.398904513988022,0.501095486011978
2019-03-01,0.4,0.723260769570675,-0.323260769570675
2019-02-01,0.1,1.06358352761247,-0.963583527612473
2019-01-01,0.1,1.41679091321529,-1.31679091321529
2018-12-01,0.9,1.778998065208,-0.878998065207997
2018-11-01,2.7,2.14522279665844,0.55477720334156
2018-10-01,3.3,2.5097504222468,0.790249577753202
2018-09-01,3.6,2.86732857098937,0.732671429010627
2018-08-01,4.1,3.21336341321725,0.886636586782746
2018-07-01,4.6,3.54387167878571,1.05612832121429
2018-06-01,4.7,3.85560896137241,0.844391038627587
2018-05-01,4.1,4.14621096158919,-0.0462109615891909
2018-04-01,3.4,4.41401703924684,-1.01401703924684
2018-03-01,3.1,4.65732804502153,-1.55732804502153
2018-02-01,3.7,4.87359981539,-1.17359981539
2018-01-01,4.3,5.05899041345812,-0.758990413458116
2017-12-01,4.9,5.20867990248567,-0.308679902485673
2017-11-01,5.8,5.31721585372118,0.48278414627882
2017-10-01,6.9,5.37888860516108,1.52111139483892
2017-09-01,6.9,5.38839081492379,1.51160918507621
2017-08-01,6.3,5.34168273395667,0.958317266043326
2017-07-01,5.5,5.235984287528,0.264015712472004
2017-06-01,5.5,5.06931399862784,0.43068600137216
2017-05-01,5.5,4.8399104033398,0.660089596660202
2017-04-01,6.4,4.54637094274878,1.85362905725122
2017-03-01,7.6,4.18784313260357,3.41215686739643
2017-02-01,7.8,3.76501917953397,4.03498082046603
2017-01-01,6.9,3.28143475422588,3.61856524577412
2016-12-01,5.5,2.74398801138237,2.75601198861763
2016-11-01,3.3,2.16259257674457,1.13740742325543
2016-10-01,1.2,1.54945875271079,-0.349458752710793
2016-09-01,0.1,0.917744681198746,-0.817744681198746
2016-08-01,-0.8,0.280317288498897,-1.0803172884989
2016-07-01,-1.7,-0.350637952999305,-1.34936204700069
2016-06-01,-2.6,-0.963835835313487,-1.63616416468651
2016-05-01,-2.8,-1.54911561883377,-1.25088438116623
2016-04-01,-3.4,-2.0976800340875,-1.3023199659125
2016-03-01,-4.3,-2.60177421525305,-1.69822578474695
2016-02-01,-4.9,-3.05472856314701,-1.84527143685299
2016-01-01,-5.3,-3.45128866673989,-1.84871133326011
2015-12-01,-5.9,-3.78773784119972,-2.11226215880028
2015-11-01,-5.9,-4.06189999447206,-1.83810000552794
2015-10-01,-5.9,-4.27335925296822,-1.62664074703178
2015-09-01,-5.94,-4.42323149310417,-1.51676850689583
2015-08-01,-5.92,-4.51398812525166,-1.40601187474834
2015-07-01,-5.37,-4.54936453353825,-0.820635466461753
2015-06-01,-4.81,-4.53426777865374,-0.275732221346259
2015-05-01,-4.61,-4.4742887841767,-0.135711215823303
2015-04-01,-4.57,-4.37524825053675,-0.194751749463255
2015-03-01,-4.56,-4.24307997084341,-0.316920029156585
2015-02-01,-4.8,-4.08388003133077,-0.716119968669229
2015-01-01,-4.32,-3.90400861825716,-0.415991381742838
2014-12-01,-3.32,-3.71042268452149,0.390422684521495
2014-11-01,-2.69,-3.51042584250747,0.820425842507469
2014-10-01,-2.24,-3.3109963523617,1.0709963523617
2014-09-01,-1.8,-3.11842878602869,1.31842878602869
2014-08-01,-1.2,-2.93812521849267,1.73812521849267
2014-07-01,-0.87,-2.77438903408282,1.90438903408282
2014-06-01,-1.11,-2.63007517944623,1.52007517944623
2014-05-01,-1.45,-2.50645161036829,1.05645161036829
2014-04-01,-2,-2.40351955331818,0.403519553318181
2014-03-01,-2.3,-2.32039985842308,0.0203998584230786
2014-02-01,-2.02,-2.25587710951576,0.235877109515763
2014-01-01,-1.64,-2.20871889054699,0.568718890546986
2013-12-01,-1.36,-2.17749622120954,0.817496221209542
2013-11-01,-1.42,-2.16030618878746,0.740306188787457
2013-10-01,-1.51,-2.15456463371376,0.644564633713756
2013-09-01,-1.34,-2.15707047459747,0.817070474597467
2013-08-01,-1.62,-2.16408549285286,0.544085492852862
2013-07-01,-2.27,-2.17119057783204,-0.0988094221679565
2013-06-01,-2.7,-2.17351321430974,-0.52648678569026
2013-05-01,-2.87,-2.16626322824581,-0.703736771754194
2013-04-01,-2.62,-2.1450891845882,-0.4749108154118
2013-03-01,-1.92,-2.10622609559464,0.186226095594641
2013-02-01,-1.63,-2.04630473253572,0.41630473253572
2013-01-01,-1.64,-1.96180067826902,0.321800678269024
2012-12-01,-1.94,-1.84884259504169,-0.0911574049583058
2012-11-01,-2.2,-1.70329097786896,-0.496709022131042
2012-10-01,-2.76,-1.52108228627023,-1.23891771372977
2012-09-01,-3.55,-1.29856690394997,-2.25143309605003
2012-08-01,-3.48,-1.03312764604076,-2.44687235395924
2012-07-01,-2.87,-0.724023521921915,-2.14597647807808
2012-06-01,-2.08,-0.372552601267746,-1.70744739873225
2012-05-01,-1.4,0.0181987325158075,-1.41819873251581
2012-04-01,-0.7,0.443721223190451,-1.14372122319045
2012-03-01,-0.32,0.898323782240813,-1.21832378224081
2012-02-01,0.03,1.37536222013218,-1.34536222013218
2012-01-01,0.73,1.86717707751133,-1.13717707751133
2011-12-01,1.69,2.36498775984158,-0.674987759841583
2011-11-01,2.72,2.85906602502167,-0.139066025021665
2011-10-01,5,3.33912114115044,1.66087885884956
2011-09-01,6.52,3.79474648797257,2.72525351202743
2011-08-01,7.25,4.21691951094848,3.03308048905152
2011-07-01,7.54,4.59888870013189,2.94111129986811
2011-06-01,7.12,4.93643011265073,2.18356988734927
2011-05-01,6.79,5.2277707317162,1.5622292682838
2011-04-01,6.82,5.47295718211222,1.34704281788778
2011-03-01,7.31,5.67333794634634,1.63666205365366
2011-02-01,7.23,5.83138404260768,1.39861595739232
2011-01-01,6.64,5.95093037413007,0.689069625869929
2010-12-01,5.93,6.03697735744513,-0.106977357445129
2010-11-01,6.06,6.09509963377274,-0.0350996337727449
2010-10-01,5.04,6.13078269653496,-1.09078269653496
2010-09-01,4.33,6.14948278945893,-1.81948278945893
2010-08-01,4.32,6.1557471706914,-1.8357471706914
2010-07-01,4.84,6.15260686272122,-1.31260686272123
2010-06-01,6.41,6.14156309872837,0.268436901271634
2010-05-01,7.13,6.1230232728405,1.0069767271595
2010-04-01,6.81,6.09761847660305,0.712381523396949
2010-03-01,5.91,6.06681894883405,-0.156818948834046
2010-02-01,5.39,6.03268857962103,-0.642688579621033
2010-01-01,4.32,5.99716057659419,-1.67716057659419
