"TA0Date","TA0Close","TA0_hpft","TA0_hpfc"
2010-01-04,8344,8376.28911309079,-32.2891130907871
2010-01-05,8372,8369.75332658229,2.24667341770533
2010-01-06,8352,8363.21752672678,-11.2175267267812
2010-01-07,8190,8356.68170110591,-166.68170110591
2010-01-08,8146,8350.14583266447,-204.14583266447
2010-01-11,8262,8343.60983544774,-81.6098354477379
2010-01-12,8320,8337.07353911531,-17.0735391153113
2010-01-13,8176,8330.53673959257,-154.536739592566
2010-01-14,8334,8323.99922574736,10.0007742526404
2010-01-15,8232,8317.46072256833,-85.4607225683294
2010-01-18,8348,8310.92095917793,37.0790408220745
2010-01-19,8384,8304.37962937263,79.6203706273705
2010-01-20,8270,8297.8364422759,-27.8364422759006
2010-01-21,8526,8291.29113992306,234.708860076939
2010-01-22,8324,8284.74345284296,39.2565471570357
2010-01-25,8324,8278.19320858367,45.8067914163353
2010-01-26,8224,8271.64025092031,-47.6402509203065
2010-01-27,8126,8265.08444256271,-139.084442562714
2010-01-28,8008,8258.52562652815,-250.525626528146
2010-01-29,8046,8251.96358834194,-205.963588341943
2010-02-01,7946,8245.39800997224,-299.398009972239
2010-02-02,7966,8238.82848825008,-272.828488250079
2010-02-03,8172,8232.25449624743,-60.2544962474307
2010-02-04,8132,8225.67539425993,-93.6753942599275
2010-02-05,8050,8219.09051767642,-169.090517676419
2010-02-08,8026,8212.49916316411,-186.499163164114
2010-02-09,8142,8205.90055749501,-63.9005574950091
2010-02-10,8194,8199.29385034981,-5.29385034981247
2010-02-11,8268,8192.67816499534,75.3218350046626
2010-02-12,8432,8186.05262251015,245.947377489853
2010-02-22,8466,8179.41637510779,286.583624892212
2010-02-23,8474,8172.7686766666,301.231323333402
2010-02-24,8482,8166.10889952704,315.891100472955
2010-02-25,8374,8159.43654054652,214.563459453484
2010-02-26,8408,8152.75122715905,255.24877284095
2010-03-01,8358,8146.05267549062,211.947324509381
2010-03-02,8266,8139.34070717677,126.659292823228
2010-03-03,8258,8132.61523146357,125.384768536429
2010-03-04,8182,8125.87620995293,56.1237900470721
2010-03-05,8236,8119.12365607573,116.876343924268
2010-03-08,8364,8112.35760646225,251.642393537751
2010-03-09,8382,8105.57814605468,276.421853945316
2010-03-10,8346,8098.78546381415,247.214536185855
2010-03-11,8262,8091.97986296336,170.020137036637
2010-03-12,8292,8085.16174891364,206.838251086356
2010-03-15,8086,8078.33159735576,7.66840264424362
2010-03-16,8084,8071.48996947913,12.5100305208669
2010-03-17,8218,8064.63742964295,153.362570357051
2010-03-18,8178,8057.7745473776,120.225452622399
2010-03-19,8182,8050.90195560734,131.098044392659
2010-03-22,8170,8044.02033695284,125.979663047158
2010-03-23,8148,8037.13042822537,110.869571774628
2010-03-24,8188,8030.23301831119,157.766981688814
2010-03-25,8190,8023.32894192553,166.671058074473
2010-03-26,8268,8016.41909899817,251.580901001826
2010-03-29,8628,8009.50445835402,618.495541645981
