"LUMDate","LUMClose","LUM_hpft","LUM_hpfc"
2020-06-23,2649,2408.58439769289,240.41560230711
2020-06-24,2603,2408.02003484939,194.979965150606
2020-06-29,2514,2407.45577138404,106.54422861596
2020-06-30,2534,2406.89178727185,127.108212728151
2020-07-01,2553,2406.32830652894,146.671693471058
2020-07-02,2553,2405.76560571286,147.234394287142
2020-07-03,2589,2405.20402200932,183.795977990676
2020-07-06,2601,2404.64395346484,196.356046535162
2020-07-07,2574,2404.08587409977,169.914125900232
2020-07-08,2570,2403.53033910035,166.469660899649
2020-07-09,2563,2402.97797388814,160.022026111858
2020-07-10,2493,2402.42947269674,90.5705273032644
2020-07-13,2542,2401.88559590639,140.114404093612
2020-07-14,2519,2401.34714133559,117.652858664406
2020-07-15,2520,2400.81496472047,119.185035279526
2020-07-16,2510,2400.28997043016,109.710029569844
2020-07-17,2491,2399.77311210001,91.2268878999876
2020-07-20,2452,2399.26538871515,52.7346112848523
2020-07-21,2487,2398.76783697022,88.2321630297846
2020-07-22,2528,2398.28151535823,129.718484641771
2020-07-23,2588,2397.80751884382,190.192481156177
2020-07-24,2506,2397.34699601206,108.653003987945
2020-07-27,2486,2396.90117406589,89.0988259341137
2020-07-28,2492,2396.47132512102,95.5286748789766
2020-07-29,2508,2396.05875812314,111.941241876864
2020-07-30,2495,2395.66482150554,99.3351784944593
2020-07-31,2430,2395.29090997357,34.7090900264303
2020-08-03,2405,2394.93845929376,10.0615407062425
2020-08-04,2431,2394.60891957993,36.3910804200688
2020-08-05,2462,2394.30374510502,67.6962548949754
2020-08-06,2472,2394.02440518452,77.9755948154833
2020-08-07,2452,2393.77239711678,58.2276028832179
2020-08-10,2478,2393.54925043222,84.4507495677783
2020-08-11,2443,2393.35651873012,49.6434812698818
2020-08-12,2492,2393.19579051842,98.8042094815759
2020-08-13,2461,2393.06867482561,67.931325174394
2020-08-14,2450,2392.9768215219,57.0231784781018
2020-08-17,2450,2392.92190855743,57.0780914425733
2020-08-18,2456,2392.90563745363,63.0943625463666
2020-08-19,2460,2392.9297333257,67.0702666743008
2020-08-20,2490,2392.99594736943,97.0040526305727
2020-08-21,2496,2393.10605850471,102.893941495288
2020-08-24,2464,2393.26188574909,70.7381142509069
2020-08-25,2496,2393.46529065238,102.534709347615
2020-08-26,2532,2393.71816400464,138.281835995365
2020-08-27,2512,2394.02243897952,117.97756102048
2020-08-28,2475,2394.38010591104,80.6198940889558
2020-08-31,2491,2394.79320390033,96.2067960996721
2020-09-01,2477,2395.26380537344,81.7361946265612
2020-09-02,2484,2395.79402252452,88.2059774754849
2020-09-03,2401,2396.38600133417,4.61399866583108
2020-09-04,2353,2397.04192424379,-44.0419242437859
2020-09-07,2293,2397.763975602,-104.763975602003
2020-09-08,2288,2398.55432155231,-110.554321552307
2020-09-09,2178,2399.41508493292,-221.415084932924
2020-09-10,2218,2400.34834288359,-182.348342883587
2020-09-11,2200,2401.35608101968,-201.356081019676
2020-09-14,2239,2402.44020958108,-163.440209581078
2020-09-15,2224,2403.6025555755,-179.602555575503
2020-09-16,2260,2404.84487845063,-144.844878450628
2020-09-17,2222,2406.16886341395,-184.168863413949
2020-09-18,2320,2407.57613579963,-87.5761357996305
2020-09-21,2293,2409.06824481436,-116.068244814363
2020-09-22,2230,2410.64670346378,-180.646703463781
2020-09-23,2229,2412.31297677595,-183.312976775953
2020-09-24,2227,2414.06845510675,-187.06845510675
2020-09-25,2241,2415.91445303775,-174.914453037747
2020-09-28,2260,2417.85220782406,-157.852207824063
2020-09-29,2270,2419.88288441831,-149.882884418309
2020-09-30,2204,2422.00758252311,-218.007582523106
2020-10-09,2314,2424.22733988561,-110.227339885612
