"RB0Date","RB0Close","RB0_hpft","RB0_hpfc"
2010-01-04,4579,4448.47534434686,130.524655653145
2010-01-05,4589,4448.03890557009,140.961094429906
2010-01-06,4622,4447.60252074698,174.397479253024
2010-01-07,4489,4447.16630209879,41.8336979012057
2010-01-08,4462,4446.73043393575,15.2695660642551
2010-01-11,4516,4446.2951178604,69.7048821396049
2010-01-12,4510,4445.86056178714,64.1394382128623
2010-01-13,4418,4445.42700244355,-27.4270024435547
2010-01-14,4433,4444.99470306989,-11.994703069895
2010-01-15,4368,4444.56391556937,-76.5639155693731
2010-01-18,4395,4444.13488688671,-49.1348868867087
2010-01-19,4382,4443.70783231836,-61.7078323183628
2010-01-20,4364,4443.2829468504,-79.2829468504044
2010-01-21,4352,4442.86039996137,-90.8603999613678
2010-01-22,4288,4442.44032835741,-154.440328357415
2010-01-25,4278,4442.02283118666,-164.022831186663
2010-01-26,4265,4441.6079437578,-176.6079437578
2010-01-27,4316,4441.19563357908,-125.195633579083
2010-01-28,4293,4440.78579515615,-147.785795156145
2010-01-29,4300,4440.37827124377,-140.378271243772
2010-02-01,4295,4439.97284350806,-144.972843508055
2010-02-02,4159,4439.56923558834,-280.569235588345
2010-02-03,4180,4439.16711119805,-259.16711119805
2010-02-04,4115,4438.76601807454,-323.766018074542
2010-02-05,4109,4438.36539682593,-329.365396825926
2010-02-08,4129,4437.96455422846,-308.964554228457
2010-02-09,4157,4437.56266091198,-280.562660911981
2010-02-10,4198,4437.15875979281,-239.158759792815
2010-02-11,4229,4436.75177781396,-207.751777813961
2010-02-12,4293,4436.3405430598,-143.3405430598
2010-02-22,4243,4435.92379773849,-192.923797738487
2010-02-23,4283,4435.50022480695,-152.500224806954
2010-02-24,4253,4435.06842747522,-182.068427475219
2010-02-25,4209,4434.62694591581,-225.626945915811
2010-02-26,4214,4434.17424504149,-220.174245041491
2010-03-01,4209,4433.70869649992,-224.708696499924
2010-03-02,4155,4433.2285809276,-278.228580927601
2010-03-03,4143,4432.73208607549,-289.732086075487
2010-03-04,4141,4432.21728468599,-291.21728468599
2010-03-05,4168,4431.68212973792,-263.682129737919
2010-03-08,4189,4431.12445383265,-242.124453832647
2010-03-09,4636,4430.54198057587,205.458019424129
2010-03-10,4649,4429.93233348891,219.067666511093
2010-03-11,4652,4429.29322102095,222.706778979046
2010-03-12,4658,4428.62244217513,229.377557824874
2010-03-15,4660,4427.91788801255,232.082111987453
2010-03-16,4780,4427.17754440977,352.822455590229
2010-03-17,4763,4426.39949317673,336.600506823269
2010-03-18,4733,4425.58196196611,307.418038033892
2010-03-19,4757,4424.7233175675,332.276682432502
2010-03-22,4768,4423.82205384496,344.177946155039
2010-03-23,4742,4422.87680201218,319.123197987816
2010-03-24,4778,4421.88633555235,356.113664447646
2010-03-25,4796,4420.84955986124,375.15044013876
2010-03-26,4793,4419.76552753772,373.234472462278
2010-03-29,4810,4418.63344625273,391.366553747272
2010-03-30,4761,4417.45267795728,343.547322042722
2010-03-31,4755,4416.22274637778,338.777253622225
2010-04-01,4753,4414.94331724908,338.056682750919
2010-04-02,4786,4413.61419634314,372.385803656855
2010-04-06,4824,4412.2353291708,411.764670829197
2010-04-07,4846,4410.80681517222,435.193184827779
2010-04-08,4810,4409.3289239945,400.671076005505
2010-04-09,4848,4407.80210517636,440.197894823638
2010-04-12,4872,4406.22697387747,465.77302612253
2010-04-13,4881,4404.60432721777,476.395672782226
2010-04-14,4854,4402.93515484908,451.064845150917
2010-04-15,4819,4401.22064334586,417.779356654139
2010-04-16,4838,4399.46216573472,438.537834265281
2010-04-19,4752,4397.66126773552,354.33873226448
2010-04-20,4772,4395.81967634208,376.180323657916
2010-04-21,4759,4393.93926501755,365.060734982452
2010-04-22,4734,4392.02206272282,341.977937277182
2010-04-23,4740,4390.0702493203,349.929750679696
2010-04-26,4734,4388.08614603228,345.913853967721
2010-04-27,4678,4386.07221872792,291.92778127208
2010-04-28,4588,4384.03107626332,203.968923736675
2010-04-29,4583,4381.96544816572,201.034551834282
2010-04-30,4635,4379.87814827497,255.121851725032
2010-05-04,4665,4377.77207353044,287.22792646956
2010-05-05,4653,4375.65022632871,277.349773671295
2010-05-06,4637,4373.51572779477,263.484272205227
2010-05-07,4545,4371.37181369891,173.628186301089
2010-05-10,4534,4369.22182872517,164.77817127483
2010-05-11,4479,4367.06918932853,111.930810671474
2010-05-12,4406,4364.91738007662,41.0826199233822
2010-05-13,4400,4362.76993180479,37.2300681952094
2010-05-14,4367,4360.63039233028,6.3696076697167
2010-05-17,4186,4358.50232485973,-172.502324859731
2010-05-18,4209,4356.38929523274,-147.389295232737
2010-05-19,4223,4354.29479798338,-131.294797983379
2010-05-20,4251,4352.22226672092,-101.222266720917
2010-05-21,4228,4350.17508078265,-122.175080782652
2010-05-24,4318,4348.15657766455,-30.1565776645523
2010-05-25,4264,4346.17004436047,-82.1700443604724
2010-05-26,4272,4344.21875539867,-72.2187553986723
2010-05-27,4270,4342.30595134165,-72.3059513416495
2010-05-28,4256,4340.43484289951,-84.4348428995126
2010-05-31,4215,4338.60861089401,-123.608610894011
2010-06-01,4178,4336.83040124507,-158.830401245069
2010-06-02,4185,4335.10330877756,-150.103308777559
2010-06-03,4200,4333.43036266249,-133.430362662487
2010-06-04,4180,4331.81453002397,-151.814530023971
2010-06-07,4021,4330.25872283147,-309.258722831474
2010-06-08,4061,4328.76579030042,-267.765790300416
2010-06-09,4103,4327.33845381122,-224.338453811217
2010-06-10,4082,4325.97932406059,-243.979324060588
2010-06-11,4111,4324.6909190125,-213.690919012505
2010-06-17,4112,4323.47565578022,-211.47565578022
2010-06-18,4088,4322.3358631452,-234.335863145203
2010-06-21,4163,4321.27378247403,-158.273782474028
2010-06-22,4138,4320.29155826772,-182.291558267724
2010-06-23,4080,4319.39126960336,-239.391269603364
2010-06-24,4101,4318.57492020614,-217.574920206142
2010-06-25,4084,4317.84441484651,-233.844414846506
2010-06-28,4039,4317.20156835815,-278.201568358149
2010-06-29,3994,4316.64809891299,-322.648098912985
2010-06-30,3985,4316.18560968541,-331.185609685406
2010-07-01,3960,4315.81557048013,-355.815570480132
2010-07-02,3975,4315.53931420327,-340.539314203268
2010-07-05,3989,4315.35802668071,-326.358026680709
2010-07-06,3964,4315.27275297353,-351.272752973534
2010-07-07,3965,4315.28440323905,-350.284403239048
2010-07-08,3935,4315.39374243287,-380.393742432871
2010-07-09,3950,4315.60139071714,-365.601390717143
2010-07-12,3943,4315.90781101437,-372.90781101437
2010-07-13,3917,4316.31331512206,-399.313315122058
2010-07-14,3906,4316.81806069274,-410.818060692742
2010-07-15,3909,4317.42204031894,-408.422040318936
2010-07-16,4066,4318.12507677737,-252.125076777367
2010-07-19,4135,4318.92682401978,-183.926824019784
2010-07-20,4187,4319.82683177934,-132.826831779344
2010-07-21,4177,4320.82457376131,-143.824573761306
2010-07-22,4173,4321.91946876559,-148.919468765589
2010-07-23,4223,4323.11087614097,-100.110876140966
2010-07-26,4215,4324.39809367866,-109.398093678664
2010-07-27,4155,4325.78037778818,-170.780377788176
2010-07-28,4220,4327.25693965825,-107.256939658248
2010-07-29,4216,4328.82691988396,-112.826919883959
2010-07-30,4285,4330.48941472452,-45.4894147245158
2010-08-02,4327,4332.24347380141,-5.24347380141048
2010-08-03,4298,4334.08812793219,-36.0881279321895
2010-08-04,4324,4336.02240576728,-12.0224057672754
2010-08-05,4302,4338.04532103949,-36.0453210394869
2010-08-06,4317,4340.15588251197,-23.1558825119741
2010-08-09,4379,4342.35308404861,36.6469159513878
2010-08-10,4357,4344.635909941,12.3640900589949
2010-08-11,4361,4347.00335962977,13.9966403702262
2010-08-12,4301,4349.45443766575,-48.4544376657517
2010-08-13,4334,4351.98815438589,-17.9881543858908
2010-08-16,4361,4354.60350009761,6.39649990238542
2010-08-17,4367,4357.29945767323,9.70054232677509
2010-08-18,4361,4360.07501262866,0.924987371339547
2010-08-19,4365,4362.92915448997,2.07084551002836
2010-08-20,4311,4365.86087316514,-54.8608731651367
2010-08-23,4261,4368.8691594186,-107.869159418596
2010-08-24,4238,4371.95298133737,-133.952981337371
2010-08-25,4225,4375.11126241964,-150.111262419642
2010-08-26,4257,4378.34287079295,-121.342870792951
2010-08-27,4268,4381.64661253453,-113.646612534534
2010-08-30,4333,4385.02124356382,-52.0212435638154
2010-08-31,4312,4388.46547282309,-76.4654728230928
2010-09-01,4352,4391.97798775113,-39.9779877511314
2010-09-02,4386,4395.55744417899,-9.55744417899265
2010-09-03,4365,4399.20248141254,-34.2024814125397
2010-09-06,4584,4402.91173480674,181.088265193259
2010-09-07,4568,4406.68382557864,161.316174421361
2010-09-08,4538,4410.51744980016,127.482550199845
2010-09-09,4439,4414.41137022465,24.5886297753475
2010-09-10,4494,4418.36440230168,75.6355976983231
2010-09-13,4481,4422.37537164471,58.6246283552874
2010-09-14,4418,4426.4431351319,-8.44313513189983
2010-09-15,4417,4430.56657387462,-13.5665738746232
2010-09-16,4366,4434.74456549399,-68.7445654939935
2010-09-17,4359,4438.97598200335,-79.9759820033522
2010-09-20,4378,4443.25966699986,-65.2596669998604
2010-09-21,4317,4447.59443102172,-130.594431021723
2010-09-27,4258,4451.97905763144,-193.97905763144
2010-09-28,4251,4456.41227640913,-205.412276409134
2010-09-29,4240,4460.89273675173,-220.892736751726
2010-09-30,4263,4465.4190031468,-202.419003146802
2010-10-08,4279,4469.98954877401,-190.989548774008
2010-10-11,4341,4474.60276314101,-133.602763141006
2010-10-12,4304,4479.25695680814,-175.256956808136
2010-10-13,4324,4483.95038510959,-159.950385109588
2010-10-14,4474,4488.68123093546,-14.681230935457
2010-10-15,4498,4493.44761105877,4.55238894122507
2010-10-18,4520,4498.24763618397,21.7523638160335
2010-10-19,4488,4503.07941889715,-15.0794188971526
2010-10-20,4421,4507.94108077612,-86.941080776117
2010-10-21,4427,4512.83073716532,-85.8307371653199
2010-10-22,4413,4517.7464674713,-104.746467471297
2010-10-25,4510,4522.68631562168,-12.6863156216776
2010-10-26,4477,4527.64828224602,-50.6482822460218
2010-10-27,4486,4532.63036272995,-46.6303627299458
2010-10-28,4504,4537.63053152306,-33.6305315230635
2010-10-29,4505,4542.64674379985,-37.6467437998537
2010-11-01,4553,4547.67694083334,5.32305916665547
2010-11-02,4542,4552.71904833486,-10.7190483348638
2010-11-03,4551,4557.77099421612,-6.77099421611912
