"SR0Date","SR0Close","SR0_hpft","SR0_hpfc"
2010-01-04,5901,5564.33974267224,336.660257327756
2010-01-05,5925,5556.48402590729,368.515974092714
2010-01-06,5923,5548.62844830414,374.371551695859
2010-01-07,5794,5540.77330135431,253.226698645694
2010-01-08,5597,5532.91903129942,64.0809687005825
2010-01-11,5613,5525.06618905486,87.9338109451375
2010-01-12,5545,5517.21535202451,27.7846479754852
2010-01-13,5377,5509.36713396055,-132.367133960546
2010-01-14,5455,5501.52216010019,-46.5221601001864
2010-01-15,5391,5493.68100096545,-102.681000965454
2010-01-18,5430,5485.8442078479,-55.8442078479046
2010-01-19,5451,5478.01228959493,-27.0122895949329
2010-01-20,5489,5470.18573197017,18.8142680298271
2010-01-21,5680,5462.36500957148,217.634990428521
2010-01-22,5584,5454.55060477377,129.449395226234
2010-01-25,5605,5446.7430899135,158.256910086497
2010-01-26,5652,5438.94309083633,213.056909163673
2010-01-27,5584,5431.15129880492,152.848701195081
2010-01-28,5383,5423.36849315111,-40.3684931511092
2010-01-29,5378,5415.59551638824,-37.5955163882417
2010-02-01,5430,5407.83319434296,22.1668056570356
2010-02-02,5497,5400.08233730144,96.9176626985621
2010-02-03,5657,5392.34376471269,264.656235287306
2010-02-04,5573,5384.61833608761,188.381663912385
2010-02-05,5497,5376.90702033533,120.092979664666
2010-02-08,5539,5369.2108642344,169.789135765602
2010-02-09,5558,5361.53096420494,196.46903579506
2010-02-10,5756,5353.86848685116,402.131513148835
2010-02-11,5785,5346.22467998961,438.775320010391
2010-02-12,5840,5338.60095766179,501.399042338207
2010-02-22,5733,5330.99891528133,402.001084718668
2010-02-23,5764,5323.4203555201,440.579644479899
2010-02-24,5780,5315.86724722096,464.132752779039
2010-02-25,5741,5308.34174134466,432.658258655335
2010-02-26,5765,5300.84618070598,464.153819294019
2010-03-01,5754,5293.38308696296,460.616913037043
2010-03-02,5670,5285.95517363634,384.044826363656
2010-03-03,5682,5278.56534464729,403.434655352712
2010-03-04,5635,5271.21666266573,363.783337334266
2010-03-05,5697,5263.91235712517,433.087642874832
2010-03-08,5747,5256.65580783259,490.34419216741
2010-03-09,5713,5249.45057361595,463.549426384054
2010-03-10,5557,5242.30041599174,314.699584008257
2010-03-11,5359,5235.20928808918,123.79071191082
2010-03-12,5343,5228.1812731218,114.818726878201
2010-03-15,5252,5221.22050547288,30.7794945271191
2010-03-16,5020,5214.33116698731,-194.33116698731
2010-03-17,5057,5207.51745223336,-150.517452233356
2010-03-18,5134,5200.78347545013,-66.7834754501303
2010-03-19,5145,5194.13328865885,-49.1332886588506
2010-03-22,5179,5187.57091627527,-8.57091627526625
2010-03-23,5031,5181.10036240554,-150.100362405536
2010-03-24,4992,5174.72562761287,-182.725627612871
2010-03-25,5051,5168.45065041481,-117.450650414811
2010-03-26,5111,5162.27929379788,-51.2792937978794
2010-03-29,5117,5156.21537219887,-39.2153721988716
2010-03-30,5082,5150.26267885814,-68.2626788581413
2010-03-31,5077,5144.4249908055,-67.4249908055021
2010-04-01,5001,5138.70605685415,-137.706056854147
2010-04-02,5100,5133.10959794619,-33.109597946186
2010-04-06,5082,5127.63927810169,-45.6392781016877
2010-04-07,5096,5122.29874765469,-26.2987476546922
2010-04-08,5078,5117.09163807353,-39.0916380735259
2010-04-09,5136,5112.02156995554,23.9784300444637
2010-04-12,5194,5107.09214773975,86.9078522602454
2010-04-13,5193,5102.30698577678,90.6930142232248
2010-04-14,5204,5097.6697343408,106.330265659196
2010-04-15,5162,5093.18408119591,68.8159188040892
2010-04-16,5186,5088.85375805801,97.1462419419922
2010-04-19,5069,5084.68252508919,-15.6825250891941
2010-04-20,5128,5080.67418260734,47.325817392657
2010-04-21,5099,5076.83252444841,22.1674755515934
2010-04-22,5122,5073.16136401041,48.8386359895884
2010-04-23,5091,5069.66452385499,21.3354761450077
2010-04-26,5013,5066.34584673136,-53.3458467313608
2010-04-27,4986,5063.20918420834,-77.2091842083352
2010-04-28,4977,5060.25836580337,-83.2583658033695
2010-04-29,4926,5057.49718911884,-131.49718911884
2010-04-30,4938,5054.92941734161,-116.929417341612
2010-05-04,4819,5052.55875930314,-233.558759303135
2010-05-05,4809,5050.38887550018,-241.388875500181
2010-05-06,4794,5048.4233298863,-254.423329886302
2010-05-07,4697,5046.66558663444,-349.665586634441
2010-05-10,4800,5045.11900474876,-245.119004748756
2010-05-11,4779,5043.78679869681,-264.786798696806
2010-05-12,4832,5042.67208162273,-210.67208162273
2010-05-13,4854,5041.7778572188,-187.777857218803
2010-05-14,4778,5041.10704209336,-263.107042093361
