"USDCNHDate","USDCNHClose","USDCNH_hpft","USDCNH_hpfc"
2014-07-12,6.2042,6.19982242091346,0.00437757908653669
2014-07-13,6.2044,6.19915953563907,0.0052404643609257
2014-07-14,6.209,6.19848910823262,0.0105108917673821
2014-07-15,6.2155,6.19781158651572,0.017688413484279
2014-07-16,6.2076,6.19712742265475,0.0104725773452453
2014-07-17,6.2066,6.1964370761278,0.0101629238722049
2014-07-18,6.2069,6.19574101074184,0.0111589892581632
2014-07-19,6.2052,6.19503969450482,0.0101603054951818
2014-07-20,6.2057,6.19433360003737,0.0113663999626292
2014-07-21,6.2051,6.19362320415999,0.011476795840013
2014-07-22,6.2032,6.19290898839157,0.0102910116084324
2014-07-23,6.1919,6.19219143899506,-0.000291438995059717
2014-07-24,6.1911,6.1914710464873,-0.000371046487302476
2014-07-25,6.189,6.19074830126465,-0.0017483012646543
2014-07-26,6.1884,6.19002369357012,-0.00162369357011856
2014-07-27,6.1909,6.18929771292401,0.00160228707599364
2014-07-28,6.1812,6.18857084817546,-0.007370848175464
2014-07-29,6.1811,6.18784358883595,-0.00674358883595469
2014-07-30,6.1729,6.18711642137013,-0.0142164213701342
2014-07-31,6.1804,6.18638982945513,-0.0059898294551299
2014-08-01,6.174,6.18566429089157,-0.0116642908915647
2014-08-02,6.1736,6.18494028100412,-0.0113402810041184
2014-08-03,6.1743,6.18421827029591,-0.00991827029591298
2014-08-04,6.1741,6.18349872458246,-0.00939872458245702
2014-08-05,6.1692,6.18278210557944,-0.0135821055794446
2014-08-06,6.1604,6.18206887111752,-0.0216688711175221
2014-08-07,6.1665,6.18135947341303,-0.0148594734130287
2014-08-08,6.155,6.18065435572527,-0.0256543557252653
2014-08-09,6.1554,6.17995395517123,-0.0245539551712306
2014-08-10,6.1552,6.17925869826344,-0.0240586982634368
2014-08-11,6.1535,6.17856900136479,-0.0250690013647875
2014-08-12,6.1595,6.17788527089328,-0.018385270893279
2014-08-13,6.1585,6.1772079029044,-0.0187079029043976
2014-08-14,6.1517,6.17653728585389,-0.024837285853885
2014-08-15,6.147,6.1758738004644,-0.0288738004643956
2014-08-16,6.1479,6.17521781719187,-0.0273178171918653
2014-08-17,6.1475,6.17456969455693,-0.0270696945569331
2014-08-18,6.1411,6.17392977978817,-0.0328297797881721
2014-08-19,6.1442,6.17329840892461,-0.0290984089246091
2014-08-20,6.1448,6.1726759044348,-0.0278759044347967
2014-08-21,6.1538,6.17206257675916,-0.0182625767591618
2014-08-22,6.1568,6.17145872481534,-0.0146587248153359
