"HC0Date","HC0Close","HC0_hpft","HC0_hpfc"
2014-03-24,3330,3443.1831325164,-113.183132516403
2014-03-25,3378,3440.52945316202,-62.5294531620176
2014-03-26,3376,3437.87572702228,-61.8757270222759
2014-03-27,3362,3435.22188146466,-73.2218814646614
2014-03-28,3382,3432.56781827972,-50.5678182797193
2014-03-31,3410,3429.91340899101,-19.9134089910125
2014-04-01,3414,3427.2585042194,-13.2585042194032
2014-04-02,3390,3424.60294635435,-34.6029463543509
2014-04-03,3410,3421.94657230478,-11.946572304782
2014-04-04,3440,3419.28920467615,20.7107953238538
2014-04-08,3480,3416.63066113568,63.3693388643209
2014-04-09,3452,3413.97076791162,38.0292320883797
2014-04-10,3446,3411.30937742654,34.6906225734593
2014-04-11,3434,3408.64635782277,25.3536421772294
2014-04-14,3438,3405.98159158235,32.0184084176529
2014-04-15,3448,3403.31497166748,44.6850283325211
2014-04-16,3418,3400.64640427551,17.353595724492
2014-04-17,3412,3397.97581407476,14.0241859252368
2014-04-18,3354,3395.30313290685,-41.3031329068529
2014-04-21,3340,3392.62829841042,-52.6282984104203
2014-04-22,3354,3389.95123115105,-35.9512311510498
2014-04-23,3380,3387.27182993991,-7.27182993991352
2014-04-24,3390,3384.58997872738,5.41002127261784
2014-04-25,3378,3381.90555845794,-3.90555845794439
2014-04-28,3336,3379.21845231238,-43.2184523123825
2014-04-29,3360,3376.52854185707,-16.5285418570677
2014-04-30,3344,3373.83569079361,-29.8356907936072
2014-05-05,3352,3371.13975599137,-19.1397559913736
2014-05-06,3344,3368.44058198686,-24.4405819868559
2014-05-07,3332,3365.73800540495,-33.7380054049481
2014-05-08,3312,3363.03185276779,-51.0318527677856
2014-05-09,3318,3360.32193665157,-42.3219366515667
2014-05-12,3336,3357.60804853799,-21.6080485379885
2014-05-13,3326,3354.88996241454,-28.8899624145441
2014-05-14,3324,3352.16744333683,-28.1674433368345
2014-05-15,3300,3349.44024441851,-49.4402444185135
2014-05-16,3272,3346.70810712994,-74.7081071299428
2014-05-19,3264,3343.97075250488,-79.9707525048829
2014-05-20,3262,3341.22787069575,-79.2278706957502
2014-05-21,3274,3338.47911879828,-64.4791187982752
2014-05-22,3280,3335.72412115858,-55.7241211585813
2014-05-23,3282,3332.96247546971,-50.9624754697092
2014-05-26,3326,3330.19375639061,-4.19375639060864
2014-05-27,3340,3327.41751751434,12.5824824856613
2014-05-28,3312,3324.63331070049,-12.6333107004892
2014-05-29,3308,3321.84069300971,-13.8406930097098
2014-05-30,3264,3319.03921628057,-55.0392162805709
2014-06-03,3268,3316.22842663041,-48.2284266304094
2014-06-04,3262,3313.4078474256,-51.4078474256005
2014-06-05,3270,3310.57698209684,-40.5769820968375
2014-06-06,3282,3307.73531282487,-25.7353128248701
2014-06-09,3262,3304.88230501753,-42.8823050175298
2014-06-10,3268,3302.01741344473,-34.0174134447265
2014-06-11,3260,3299.14007515054,-39.1400751505432
2014-06-12,3246,3296.24971311764,-50.2497131176424
2014-06-13,3248,3293.34573414969,-45.3457341496923
2014-06-16,3226,3290.42752427925,-64.4275242792538
2014-06-17,3238,3287.49445079471,-49.4944507947117
2014-06-18,3264,3284.54585435271,-20.5458543527149
2014-06-19,3264,3281.5810551509,-17.5810551509027
2014-06-20,3278,3278.59936489413,-0.599364894127641
