"J0Date","J0Close","J0_hpft","J0_hpfc"
2011-06-20,2281,2299.51668819001,-18.5166881900134
2011-06-21,2295,2297.28183478911,-2.2818347891068
2011-06-22,2288,2295.03900857682,-7.03900857681661
2011-06-23,2318,2292.78810096791,25.2118990320903
2011-06-24,2302,2290.52900046752,11.4709995324816
2011-06-27,2308,2288.26160600235,19.7383939976469
2011-06-28,2303,2285.98582124078,17.0141787592216
2011-06-29,2296,2283.70155801022,12.298441989776
2011-06-30,2309,2281.40873517108,27.5912648289185
2011-07-01,2296,2279.10727666744,16.8927233325572
2011-07-04,2316,2276.79711784851,39.2028821514881
2011-07-05,2315,2274.47820104625,40.5217989537506
2011-07-06,2342,2272.15048479752,69.849515202478
2011-07-07,2311,2269.8139443893,41.1860556107049
2011-07-08,2307,2267.46858398149,39.5314160185098
2011-07-11,2304,2265.11442475869,38.8855752413125
2011-07-12,2297,2262.75150424618,34.2484957538235
2011-07-13,2310,2260.379876043,49.6201239569972
2011-07-14,2305,2257.99960790511,47.0003920948859
2011-07-15,2303,2255.61078809946,47.3892119005366
2011-07-18,2305,2253.21352432102,51.7864756789829
2011-07-19,2305,2250.80794385361,54.1920561463908
2011-07-20,2298,2248.39419538751,49.605804612495
2011-07-21,2286,2245.97245001376,40.0275499862367
2011-07-22,2286,2243.54289932848,42.4571006715182
2011-07-25,2286,2241.10575147356,44.8942485264421
2011-07-26,2289,2238.66123214095,50.3387678590498
2011-07-27,2284,2236.20958558007,47.7904144199328
2011-07-28,2285,2233.75107684838,51.2489231516198
2011-07-29,2285,2231.28599075796,53.7140092420451
2011-08-01,2285,2228.81463330514,56.1853666948645
2011-08-02,2285,2226.33733268944,58.6626673105585
2011-08-03,2285,2223.85444033519,61.1455596648057
2011-08-04,2303,2221.36633191549,81.63366808451
2011-08-05,2297,2218.87340837855,78.1265916214454
2011-08-08,2270,2216.37610441666,53.623895583337
2011-08-09,2229,2213.87488701649,15.1251129835052
2011-08-10,2234,2211.3702453307,22.6297546692985
2011-08-11,2229,2208.86267476403,20.1373252359656
2011-08-12,2225,2206.35268007548,18.6473199245178
2011-08-15,2197,2203.840774348,-6.84077434799617
2011-08-16,2167,2201.32747837257,-34.3274783725742
