"CT00YDate","CT00YClose","CT00Y_hpft","CT00Y_hpfc"
2016-05-10,61.17,63.1146091244525,-1.94460912445249
2016-05-11,60.68,63.1880533373244,-2.50805333732443
2016-05-12,60.75,63.2622962996103,-2.51229629961025
2016-05-13,60.73,63.3373135993337,-2.60731359933368
2016-05-16,60.76,63.4130797860368,-2.65307978603683
2016-05-17,62.04,63.4895683315051,-1.44956833150515
2016-05-18,62.02,63.5667516108476,-1.54675161084757
2016-05-19,61.07,63.6446013999762,-2.57460139997617
2016-05-20,61.6,63.7230888354406,-2.12308883544062
2016-05-23,61.43,63.802183989555,-2.37218398955497
2016-05-24,62.8,63.8818560570326,-1.08185605703257
2016-05-25,62.72,63.9620732520194,-1.24207325201939
2016-05-26,64.13,64.0428033414681,0.087196658531867
2016-05-27,64.13,64.1240135789074,0.00598642109257211
2016-05-31,63.8,64.2056712539098,-0.405671253909849
2016-06-01,63.08,64.2877436585235,-1.2077436585235
2016-06-02,63.16,64.3701979171054,-1.21019791710541
2016-06-03,63.91,64.4530006547824,-0.543000654782407
2016-06-06,65.47,64.5361179964334,0.933882003566556
2016-06-07,65.91,64.6195158424826,1.29048415751737
2016-06-08,65.71,64.7031604793839,1.00683952061613
2016-06-09,65.26,64.7870187270244,0.472981272975601
2016-06-10,65.03,64.8710578214792,0.158942178520753
2016-06-13,64.13,64.9552451943345,-0.82524519433445
2016-06-14,63.99,65.0395483428767,-1.04954834287666
2016-06-15,63.69,65.1239344232692,-1.43393442326917
2016-06-16,64.78,65.2083701578343,-0.428370157834263
2016-06-17,65.77,65.2928216761634,0.477178323836585
2016-06-20,66.1,65.3772549307771,0.722745069222871
2016-06-21,64.47,65.4616360714421,-0.99163607144214
2016-06-22,64.72,65.545931546679,-0.825931546679032
2016-06-23,65.57,65.630107395106,-0.060107395105961
2016-06-24,64.68,65.7141293139338,-1.03412931393376
2016-06-27,64.46,65.7979629755277,-1.33796297552766
2016-06-28,65.97,65.8815736247856,0.0884263752143621
2016-06-29,65.95,65.964925953545,-0.0149259535450245
2016-06-30,64.33,66.0479846901957,-1.71798469019573
2016-07-01,65.16,66.1307145569565,-0.970714556956533
2016-07-05,65.51,66.2130795659028,-0.703079565902807
2016-07-06,65.56,66.2950433278529,-0.735043327852899
2016-07-07,64.91,66.3765691630018,-1.46656916300177
2016-07-08,65.76,66.4576200877071,-0.697620087707139
2016-07-11,67.79,66.5381585121061,1.25184148789396
2016-07-12,70.8,66.6181465579656,4.18185344203442
2016-07-13,73.2,66.6975468645166,6.50245313548345
2016-07-14,73.9,66.7763237995991,7.12367620040095
