"P0Date","P0Close","P0_hpft","P0_hpfc"
2010-01-04,7302,6857.98532719779,444.014672802206
2010-01-05,7344,6855.08901579535,488.910984204647
2010-01-06,7376,6852.19288793072,523.807112069277
2010-01-07,7134,6849.29732923786,284.702670762144
2010-01-08,7036,6846.40294187149,189.597058128507
2010-01-11,7124,6843.51044567103,280.489554328971
2010-01-12,7034,6840.62063884765,193.379361152348
2010-01-13,6794,6837.73443555564,-43.7344355556388
2010-01-14,6888,6834.85282988453,53.1471701154651
2010-01-15,6842,6831.97679784565,10.023202154348
2010-01-18,6820,6829.10733741953,-9.10733741953482
2010-01-19,6846,6826.24545072977,19.7545492702324
2010-01-20,6702,6823.39213613532,-121.392136135322
2010-01-21,6818,6820.54840016089,-2.54840016088733
2010-01-22,6808,6817.71519915256,-9.71519915256274
2010-01-25,6818,6814.89348840301,3.10651159698534
2010-01-26,6706,6812.08421918903,-106.08421918903
2010-01-27,6750,6809.2883440715,-59.2883440714972
2010-01-28,6704,6806.50677176039,-102.506771760392
2010-01-29,6646,6803.74038645824,-157.740386458236
2010-02-01,6556,6800.99002999539,-244.990029995389
2010-02-02,6558,6798.25647899868,-240.256478998683
2010-02-03,6720,6795.54040882592,-75.5404088259196
2010-02-04,6648,6792.84239552252,-144.842395522524
2010-02-05,6684,6790.16298390851,-106.162983908514
2010-02-08,6784,6787.50265893198,-3.50265893197914
2010-02-09,6776,6784.86186165747,-8.86186165746867
2010-02-10,6766,6782.24103170165,-16.2410317016462
2010-02-11,6820,6779.64060501804,40.3593949819602
2010-02-12,6782,6777.06101084683,4.93898915316935
2010-02-22,6932,6774.50269511106,157.497304888943
2010-02-23,7016,6771.96610577547,244.033894224531
2010-02-24,6956,6769.45175590775,186.548244092254
2010-02-25,6900,6766.9602594494,133.039740550597
2010-02-26,6864,6764.49230745355,99.5076925464514
2010-03-01,6922,6762.04864596653,159.951354033469
2010-03-02,6888,6759.63006216716,128.369937832844
2010-03-03,6968,6757.23740935171,210.762590648288
2010-03-04,6884,6754.87159387949,129.128406120511
2010-03-05,7018,6752.53360923053,265.466390769466
2010-03-08,7030,6750.22450226136,279.775497738639
2010-03-09,7092,6747.94542956165,344.054570438352
2010-03-10,7046,6745.69766336898,300.302336631017
2010-03-11,6954,6743.4826181393,210.517381860704
2010-03-12,6904,6741.3018324614,162.6981675386
2010-03-15,6854,6739.15693194356,114.843068056443
2010-03-16,6844,6737.04960944692,106.950390553083
2010-03-17,6888,6734.98160530414,153.018394695855
2010-03-18,6850,6732.95470405686,117.045295943145
2010-03-19,6880,6730.97075349831,149.029246501693
2010-03-22,6902,6729.03164980362,172.968350196378
2010-03-23,6896,6727.13935075057,168.860649249433
2010-03-24,6888,6725.29588561512,162.704114384879
2010-03-25,6892,6723.50335347337,168.496646526632
2010-03-26,6860,6721.76392065694,138.236079343058
2010-03-29,6886,6720.07982314707,165.920176852931
2010-03-30,6894,6718.45335406616,175.546645933841
2010-03-31,6850,6716.88687512149,133.113124878505
2010-04-01,6848,6715.38282058413,132.617179415873
2010-04-02,6880,6713.94367974886,166.056320251143
2010-04-06,6868,6712.57199672896,155.428003271042
2010-04-07,6968,6711.27038427896,256.729615721043
2010-04-08,6970,6710.04151940072,259.958480599285
2010-04-09,6998,6708.88818521768,289.11181478232
2010-04-12,7024,6707.81327231048,316.186727689525
2010-04-13,6990,6706.81979076619,283.180209233815
