"JRU00YDate","JRU00YClose","JRU00Y_hpft","JRU00Y_hpfc"
2016-06-03,158,161.398154962656,-3.39815496265589
2016-06-06,160,161.412638456803,-1.41263845680338
2016-06-07,157.7,161.431445823792,-3.73144582379155
2016-06-08,156.6,161.454814411668,-4.85481441166753
2016-06-09,150.5,161.482980026032,-10.9829800260319
2016-06-10,151.5,161.516176465706,-10.0161764657055
2016-06-13,151.8,161.554632989602,-9.75463298960219
2016-06-14,148.5,161.59857471633,-13.09857471633
2016-06-15,150.4,161.648222732341,-11.2482227323412
2016-06-16,148.8,161.703792709646,-12.9037927096456
2016-06-17,154.7,161.765495670704,-7.0654956707036
2016-06-20,155.5,161.833537304072,-6.33353730407216
2016-06-21,153.6,161.908120377703,-8.30812037770288
2016-06-22,156.4,161.989445041502,-5.58944504150239
2016-06-23,157.2,162.077708011171,-4.87770801117147
2016-06-24,150.8,162.173103691927,-11.3731036919272
2016-06-27,153.1,162.275824472763,-9.17582447276292
2016-06-28,153.7,162.386058041471,-8.68605804147058
2016-06-29,153.7,162.503988292927,-8.80398829292661
2016-06-30,157.9,162.629795531563,-4.72979553156323
2016-07-01,156.1,162.763656422574,-6.66365642257398
2016-07-04,164.5,162.905745676056,1.59425432394396
2016-07-05,159.2,163.056235247608,-3.85623524760768
2016-07-06,151.2,163.215297751853,-12.0152977518527
2016-07-07,152.8,163.383104209387,-10.5831042093867
2016-07-08,148.3,163.559820674144,-15.2598206741439
2016-07-11,152.1,163.745608825453,-11.6456088254528
2016-07-12,155.5,163.940624034844,-8.44062403484434
2016-07-13,156.8,164.145016860027,-7.34501686002733
2016-07-14,161.4,164.358934369685,-2.95893436968482
2016-07-15,159.5,164.582520596346,-5.08252059634615
2016-07-18,159.5,164.815918349486,-5.3159183494861
2016-07-19,159.6,165.05926833762,-5.45926833761972
2016-07-20,161.7,165.312709071923,-3.61270907192286
2016-07-21,164.6,165.576376806887,-0.976376806887091
2016-07-22,162,165.850406303673,-3.85040630367335
2016-07-25,159.4,166.134931919824,-6.73493191982386
2016-07-26,155.7,166.430086421341,-10.7300864213412
2016-07-27,159.6,166.735999790195,-7.13599979019481
2016-07-28,162.9,167.052797573036,-4.15279757303624
2016-07-29,156.6,167.380602366752,-10.7806023667518
2016-08-01,157.2,167.719535051644,-10.5195350516438
2016-08-02,156.8,168.06971205171,-11.2697120517095
2016-08-03,155.1,168.431245442653,-13.3312454426532
2016-08-04,154.6,168.804242641681,-14.2042426416815
2016-08-05,155,169.188805555428,-14.1888055554282
2016-08-08,158.2,169.585030219061,-11.3850302190615
2016-08-09,154.8,169.993006802628,-15.1930068026283
2016-08-10,155.7,170.41282077012,-14.7128207701199
2016-08-12,159.1,170.844551305292,-11.7445513052922
2016-08-15,159.6,171.288271510283,-11.6882715102831
2016-08-16,159,171.744049632453,-12.7440496324533
2016-08-17,159.5,172.211949087719,-12.7119490877194
2016-08-18,158.4,172.692028024093,-14.292028024093
2016-08-19,159.2,173.184339335016,-13.984339335016
2016-08-22,156.7,173.688930006174,-16.9889300061739
2016-08-23,152.9,174.205841242649,-21.3058412426492
2016-08-24,153.8,174.735107227053,-20.9351072270531
2016-08-25,152.1,175.276753334958,-23.1767533349582
2016-08-26,152.8,175.830796288222,-23.0307962882216
2016-08-29,154.3,176.397243228381,-22.0972432283807
2016-08-30,153.6,176.976091776948,-23.3760917769479
2016-08-31,153.9,177.567330421321,-23.6673304213209
2016-09-01,157.5,178.170937986182,-20.6709379861818
2016-09-02,157.9,178.786883513079,-20.8868835130792
2016-09-05,159.6,179.415127499031,-19.8151274990306
2016-09-06,156.9,180.055621807247,-23.1556218072469
2016-09-07,157.8,180.708310110171,-22.9083101101709
2016-09-08,158.6,181.373126508624,-22.7731265086243
2016-09-09,158.6,182.049995634096,-23.4499956340963
2016-09-12,155.3,182.738832704533,-27.4388327045328
2016-09-13,158,183.439543244631,-25.4395432446307
2016-09-14,159.7,184.152021436963,-24.4520214369629
2016-09-15,159.2,184.876150948411,-25.6761509484115
2016-09-16,168.8,185.611805338383,-16.811805338383
2016-09-20,168.9,186.358847552798,-17.4588475527984
2016-09-21,167.1,187.117133588271,-20.0171335882711
2016-09-23,169.1,187.886512224574,-18.7865122245743
2016-09-26,164.2,188.666823967263,-24.4668239672632
2016-09-27,163.3,189.457901556266,-26.1579015562657
2016-09-28,163.9,190.259567617906,-26.3595676179055
2016-09-29,163.6,191.07163396591,-27.4716339659099
2016-09-30,163.3,191.893901518029,-28.5939015180293
2016-10-03,163.7,192.726159836305,-29.0261598363053
2016-10-04,166.3,193.568186663228,-27.2681866632277
2016-10-05,169.1,194.419747743044,-25.3197477430437
2016-10-06,173.6,195.280597548441,-21.6805975484409
2016-10-07,172.9,196.150480085914,-23.2504800859145
2016-10-10,172.9,197.029130400084,-24.1291304000843
2016-10-11,179.1,197.916273924754,-18.8162739247544
2016-10-12,177.2,198.811626119719,-21.6116261197189
2016-10-13,174.3,199.71489466689,-25.4148946668904
2016-10-14,183.2,200.625778314778,-17.4257783147784
2016-10-17,182,201.543965306419,-19.5439653064192
2016-10-18,182,202.469136681732,-20.4691366817317
2016-10-19,175.6,203.40096540195,-27.80096540195
2016-10-20,175.2,204.33911596717,-29.1391159671699
2016-10-21,176.6,205.283241385705,-28.6832413857055
2016-10-24,177.8,206.23298262092,-28.4329826209204
2016-10-25,179,207.187968779677,-28.1879687796767
2016-10-26,178.2,208.147817215803,-29.9478172158028
2016-10-27,181.8,209.112133631335,-27.3121336313352
2016-10-28,181.6,210.080511349094,-28.4805113490935
2016-10-31,182,211.052532402164,-29.0525324021641
2016-11-01,180.6,212.027767050935,-31.4277670509348
2016-11-02,176.4,213.005773546641,-36.6057735466415
2016-11-04,177.3,213.98609714954,-36.6860971495404
2016-11-07,185.7,214.968267988541,-29.268267988541
2016-11-08,190.5,215.95180102799,-25.4518010279897
2016-11-09,191.6,216.936199133911,-25.3361991339112
2016-11-10,203.3,217.920954651579,-14.6209546515791
2016-11-11,207.3,218.905549453299,-11.6055494532988
2016-11-14,202.9,219.889459367665,-16.9894593676646
2016-11-15,203.5,220.872155425999,-17.3721554259985
2016-11-16,212.2,221.853101636868,-9.65310163686751
2016-11-17,210.6,222.831754827886,-12.2317548278864
2016-11-18,210.4,223.807567836468,-13.4075678364684
2016-11-21,225.2,224.779988443905,0.420011556095135
2016-11-22,224.8,225.748458889339,-0.948458889338544
2016-11-24,235.9,226.712421585539,9.18757841446116
2016-11-25,231.3,227.671318553204,3.62868144679568
2016-11-28,239.3,228.62459561082,10.6754043891801
2016-11-29,236.9,229.571700076819,7.32829992318104
2016-11-30,228.5,230.512083682417,-2.01208368241729
2016-12-01,234.8,231.445201188053,3.35479881194718
2016-12-02,230.8,232.370506522469,-1.57050652246886
2016-12-05,239.7,233.287455001119,6.41254499888146
2016-12-06,239.5,234.195501290278,5.30449870972169
2016-12-07,243.6,235.094102706884,8.50589729311557
2016-12-08,239.2,235.982718760629,3.21728123937048
2016-12-09,247.1,236.860812477122,10.2391875228776
2016-12-12,257.1,237.727848211901,19.3721517880987
2016-12-13,272.4,238.583294552966,33.8167054470335
2016-12-14,283.9,239.426628095978,44.4733719040224
2016-12-15,278.4,240.257339415052,38.1426605849478
2016-12-16,279.2,241.074937467821,38.1250625321794
2016-12-19,270,241.878946978551,28.1210530214488
2016-12-20,271.1,242.668908430911,28.4310915690895
2016-12-21,269.5,243.444373932643,26.0556260673574
2016-12-22,263.1,244.204907343786,18.8950926562142
2016-12-26,250.7,244.950083294672,5.74991670532814
2016-12-27,260.6,245.679484226177,14.9205157738227
2016-12-28,258.8,246.392694955923,12.4073050440765
2016-12-29,261,247.089306469096,13.9106935309039
2016-12-30,264.6,247.768914879529,16.831085120471
2017-01-04,272,248.431122051226,23.5688779487738
2017-01-05,270.6,249.075536805437,21.524463194563
2017-01-06,263.2,249.701777705875,13.4982222941248
2017-01-10,285.5,250.309472213535,35.1905277864649
2017-01-11,291.2,250.898253369078,40.3017466309217
2017-01-12,292.5,251.467768759542,41.0322312404582
2017-01-13,289.1,252.017682631052,37.0823173689478
2017-01-16,303.5,252.547676190859,50.9523238091412
2017-01-17,300.2,253.05744597444,47.1425540255597
2017-01-18,303.5,253.546709579026,49.9532904209736
2017-01-19,299.6,254.015204088624,45.5847959113765
2017-01-20,289.2,254.46268723596,34.73731276404
2017-01-23,288.2,254.888935596616,33.3110644033842
2017-01-24,294.9,255.293740105263,39.6062598947366
2017-01-25,303.8,255.676905465981,48.1230945340185
2017-01-26,318.5,256.038252754523,62.461747245477
2017-01-27,350.2,256.37762293875,93.8223770612502
2017-01-30,345.6,256.694882805722,88.905117194278
2017-01-31,321.2,256.989937924881,64.2100620751188
2017-02-01,318.4,257.262730615486,61.1372693845139
2017-02-02,314,257.513229738677,56.4867702613235
2017-02-03,305.1,257.741429427174,47.3585705728263
2017-02-06,301.6,257.947347163176,43.6526528368244
2017-02-07,310.1,258.131020004942,51.9689799950582
2017-02-08,313.1,258.292503055022,54.8074969449781
2017-02-09,306.8,258.431872897856,48.3681271021439
2017-02-10,315.9,258.549228773106,57.350771226894
2017-02-13,330,258.644689913785,71.3553100862149
2017-02-14,328,258.718399259526,69.2816007404736
2017-02-15,321.5,258.770529245291,62.7294707547089
2017-02-16,311.4,258.801280944345,52.5987190556547
2017-02-17,304.1,258.810881359696,45.2891186403041
2017-02-20,302.2,258.799579236647,43.4004207633527
2017-02-21,293,258.767642041112,34.2323579588882
2017-02-22,292.8,258.715355179089,34.0846448209109
2017-02-23,277.8,258.643018206787,19.1569817932127
2017-02-24,277.8,258.550944769716,19.2490552302841
2017-02-27,276.1,258.439456431959,17.6605435680408
2017-02-28,272.1,258.308882714533,13.791117285467
2017-03-01,279,258.159560438565,20.8404395614355
2017-03-02,281.2,257.991832125841,23.2081678741587
2017-03-03,285.8,257.806048912793,27.9939510872069
2017-03-06,276.1,257.602571529129,18.4974284708713
