"ZN0Date","ZN0Close","ZN0_hpft","ZN0_hpfc"
2010-08-17,17465,17228.3345213786,236.665478621423
2010-08-18,17560,17250.0940165719,309.905983428055
2010-08-19,17720,17272.1723714682,447.827628531848
2010-08-20,17060,17294.5522218157,-234.552221815684
2010-08-23,17010,17317.2163884775,-307.216388477469
2010-08-24,16730,17340.1475953622,-610.147595362232
2010-08-25,16650,17363.3284393873,-713.32843938729
2010-08-26,17035,17386.7412652602,-351.741265260188
2010-08-27,17175,17410.3681228264,-235.368122826406
2010-08-30,17650,17434.1909165368,215.80908346322
2010-08-31,17195,17458.1914535493,-263.191453549334
2010-09-01,17545,17482.3516302294,62.6483697705609
2010-09-02,17815,17506.6532341493,308.346765850657
2010-09-03,17745,17531.078078778,213.92192122203
2010-09-06,18240,17555.6081050422,684.391894957803
2010-09-07,18100,17580.2253422955,519.774657704534
2010-09-08,18210,17604.9121027917,605.087897208332
2010-09-09,17680,17629.6509136386,50.3490863614317
2010-09-10,17815,17654.4245520627,160.575447937275
2010-09-13,18095,17679.2158161031,415.784183896899
2010-09-14,17760,17704.0075701742,55.9924298258364
2010-09-15,17670,17728.7828505587,-58.7828505587145
2010-09-16,17785,17753.5247166847,31.4752833153268
2010-09-17,18120,17778.2162036815,341.7837963185
2010-09-20,18270,17802.8403596891,467.159640310882
2010-09-21,17955,17827.3803741273,127.619625872738
2010-09-27,18095,17851.8196295209,243.180370479125
2010-09-28,18000,17876.1415611472,123.858438852821
2010-09-29,18125,17900.329704805,224.670295195009
2010-09-30,18045,17924.367647491,120.63235250905
2010-10-08,18105,17948.2390690711,156.760930928883
2010-10-11,19060,17971.9276992763,1088.07230072375
2010-10-12,18905,17995.417332636,909.582667364036
2010-10-13,19355,18018.6922134453,1336.30778655468
2010-10-14,19510,18041.7369619836,1468.26303801636
2010-10-15,19625,18064.5367509071,1560.46324909294
2010-10-18,19255,18087.0773597918,1167.92264020821
2010-10-19,19480,18109.3452132474,1370.65478675263
2010-10-20,19290,18131.3272186549,1158.67278134509
2010-10-21,19680,18153.01084997,1526.98915003001
2010-10-22,20505,18174.3840600967,2330.61593990327
2010-10-25,21170,18195.4354331346,2974.56456686537
2010-10-26,21175,18216.1545165665,2958.84548343349
2010-10-27,20560,18236.5320874397,2323.4679125603
2010-10-28,20530,18256.5601458708,2273.43985412922
2010-10-29,19560,18276.2316524034,1283.76834759655
2010-11-01,20140,18295.5405073308,1844.45949266923
2010-11-02,19910,18314.4811416031,1595.51885839685
2010-11-03,19900,18333.0487485971,1566.9512514029
2010-11-04,20305,18351.2391812119,1953.76081878812
