"EUPMIDate","EUPMI","EUPMI_hpft","EUPMI_hpfc"
2023-05-01,44.8,44.9143898975831,-0.114389897583088
2023-04-01,45.8,45.6997735293728,0.1002264706272
2023-03-01,47.3,46.4850618362479,0.814938163752141
2023-02-01,48.5,47.2702430153525,1.22975698464753
2023-01-01,48.8,48.0559843789673,0.744015621032708
2022-12-01,47.8,48.8439780368602,-1.0439780368602
2022-11-01,47.3,49.6365361118166,-2.33653611181659
2022-10-01,46.4,50.4351007449245,-4.03510074492448
2022-09-01,48.4,51.2391669638454,-2.83916696384536
2022-08-01,49.6,52.0448672122866,-2.44486721228664
2022-07-01,49.8,52.8459679614858,-3.04596796148584
2022-06-01,52.1,53.6341982933369,-1.5341982933369
2022-05-01,54.6,54.3987489830992,0.201251016900758
2022-04-01,55.5,55.1275323074544,0.372467692545572
2022-03-01,56.5,55.8086282522649,0.691371747735142
2022-02-01,58.2,56.4304271931366,1.76957280686342
2022-01-01,58.3,56.9818956487989,1.31810435120105
2021-12-01,58,57.4534747819869,0.546525218013111
2021-11-01,58.4,57.836704175728,0.56329582427197
2021-10-01,58.3,58.1235788507317,0.176421149268297
2021-09-01,58.7,58.3065632408941,0.393436759105892
2021-08-01,61.4,58.3782687977358,3.02173120226418
2021-07-01,62.8,58.3316348367433,4.46836516325673
2021-06-01,63.4,58.1621187827383,5.23788121726171
2021-05-01,63.1,57.8689016981787,5.23109830182131
2021-04-01,62.9,57.4555295465369,5.44447045346315
2021-03-01,62.5,56.9299075398695,5.57009246013045
2021-02-01,57.9,56.3044779489451,1.59552205105491
2021-01-01,54.8,55.5963247882485,-0.796324788248506
2020-12-01,55.2,54.823861673974,0.376138326025957
2020-11-01,53.8,54.0048386183257,-0.204838618325693
2020-10-01,54.8,53.1573190821125,1.64268091788751
2020-09-01,53.7,52.2991958272949,1.40080417270513
2020-08-01,51.7,51.4497305165982,0.250269483401808
2020-07-01,51.8,50.6293521495584,1.17064785044161
2020-06-01,47.4,49.8586982836142,-2.45869828361416
2020-05-01,39.4,49.1593820160798,-9.75938201607977
2020-04-01,33.4,48.5509675290329,-15.1509675290329
2020-03-01,44.5,48.0448861862047,-3.54488618620469
2020-02-01,49.2,47.6399435450519,1.56005645494806
2020-01-01,47.9,47.3319910912098,0.568008908790213
2019-12-01,46.3,47.1181803573589,-0.818180357358878
2019-11-01,46.9,46.9961362169375,-0.0961362169375257
2019-10-01,45.9,46.9628017264193,-1.06280172641932
2019-09-01,45.7,47.0150398287639,-1.31503982876389
2019-08-01,47,47.1488277988253,-0.148827798825307
2019-07-01,46.5,47.3590470449339,-0.859047044933947
2019-06-01,47.6,47.6404549522543,-0.0404549522543401
2019-05-01,47.7,47.9870930334136,-0.287093033413613
2019-04-01,47.9,48.3929690885787,-0.492969088578676
2019-03-01,47.5,48.8518516737219,-1.35185167372187
2019-02-01,49.3,49.3570985372418,-0.0570985372418065
2019-01-01,49.2,49.9009408844756,-0.700940884475595
2018-12-01,50.5,50.475562338646,0.0244376613540008
2018-11-01,50.5,51.0725624055721,-0.572562405572078
2018-10-01,51.4,51.6835609557907,-0.283560955790666
2018-09-01,51.4,52.2997007245006,-0.899700724500608
2018-08-01,51.8,52.9118881461043,-1.11188814610427
2018-07-01,55.1,53.5102799044003,1.58972009559973
2018-06-01,55,54.0841061097322,0.915893890267755
2018-05-01,55.5,54.6239216391899,0.876078360810068
2018-04-01,56,55.1210446147717,0.878955385228261
2018-03-01,56.6,55.5675232237769,1.03247677622313
2018-02-01,56.6,55.9561381163253,0.643861883674696
2018-01-01,59.6,56.2805303398507,3.31946966014933
2017-12-01,60.6,56.5348774933564,4.0651225066436
2017-11-01,60.1,56.7161234005627,3.38387659943734
2017-10-01,58.5,56.8245994872785,1.67540051272152
2017-09-01,58.1,56.8634570764791,1.23654292352093
2017-08-01,57.4,56.8372436582336,0.562756341766427
2017-07-01,56.6,56.7515371750474,-0.1515371750474
2017-06-01,57.4,56.6123845330442,0.787615466955818
2017-05-01,57,56.4257063573682,0.574293642631798
2017-04-01,56.7,56.1980796193863,0.501920380613691
2017-03-01,56.2,55.9365598685009,0.263440131499137
