"FTSEDate","FTSEClose","FTSE_hpft","FTSE_hpfc"
2014-04-11,6561.7,6722.29858734785,-160.59858734785
2014-04-14,6583.76,6723.03606757859,-139.276067578585
2014-04-15,6541.61,6723.76365530816,-182.153655308159
2014-04-16,6584.17,6724.4805207898,-140.310520789803
2014-04-17,6625.25,6725.18575898175,-99.9357589817535
2014-04-22,6681.76,6725.87840684349,-44.1184068434941
2014-04-23,6674.74,6726.55746002511,-51.8174600251113
2014-04-24,6703,6727.22189593992,-24.2218959399163
2014-04-25,6685.69,6727.87067058196,-42.1806705819637
2014-04-28,6700.16,6728.50272993294,-28.3427299329367
2014-04-29,6769.91,6729.11700253874,40.7929974612634
2014-04-30,6780.03,6729.71240522949,50.3175947705095
2014-05-01,6808.87,6730.28787169758,78.5821283024175
2014-05-02,6822.42,6730.84235643457,91.577643565429
2014-05-06,6798.56,6731.37484641479,67.1851535852059
2014-05-07,6796.44,6731.88436646703,64.5556335329717
2014-05-08,6839.25,6732.36996919174,106.880030808255
2014-05-09,6814.57,6732.8307338741,81.7392661259028
2014-05-12,6851.75,6733.26578397919,118.484216020806
2014-05-13,6873.08,6733.67427675981,139.405723240193
2014-05-14,6878.49,6734.05541844534,144.434581554659
2014-05-15,6840.89,6734.40847288989,106.481527110107
2014-05-16,6855.81,6734.73276365106,121.077236348943
2014-05-19,6844.55,6735.02765830156,109.522341698435
2014-05-20,6802,6735.29257446269,66.7074255373116
2014-05-21,6821.04,6735.5269750277,85.5130249723045
2014-05-22,6820.56,6735.73035046419,84.8296495358145
2014-05-23,6815.75,6735.90222658733,79.8477734126722
2014-05-27,6844.94,6736.0421642774,108.897835722604
2014-05-28,6851.22,6736.14975742056,115.070242579436
2014-05-29,6871.29,6736.22464491699,135.065355083007
2014-05-30,6844.51,6736.26651323222,108.243486767777
2014-06-02,6864.1,6736.27510466252,127.82489533748
2014-06-03,6836.3,6736.25020624751,100.04979375249
2014-06-04,6818.63,6736.19165786459,82.4383421354077
2014-06-05,6813.49,6736.09934074758,77.3906592524249
2014-06-06,6858.21,6735.97317020712,122.236829792884
2014-06-09,6875,6735.81309354401,139.186906455987
2014-06-10,6873.55,6735.61910858686,137.930891413136
2014-06-11,6838.87,6735.39127069841,103.478729301587
2014-06-12,6843.11,6735.12969225667,107.980307743332
2014-06-13,6777.85,6734.83452841353,43.0154715864683
2014-06-16,6754.64,6734.50597895552,20.134021044479
2014-06-17,6766.77,6734.14426145019,32.6257385498084
2014-06-18,6778.56,6733.74960178751,44.810398212492
2014-06-19,6808.11,6733.32223934373,74.7877606562687
2014-06-20,6825.2,6732.8624320179,92.3375679821039
2014-06-23,6800.56,6732.37046862329,68.1895313767053
2014-06-24,6787.07,6731.84667614187,55.2233238581332
2014-06-25,6733.62,6731.2914097424,2.32859025759646
2014-06-26,6735.12,6730.70504742071,4.41495257929359
2014-06-27,6757.77,6730.08796813516,27.6820318648375
2014-06-30,6743.94,6729.44055266917,14.4994473308298
2014-07-01,6802.92,6728.76319324865,74.1568067513463
2014-07-02,6816.37,6728.05628809311,88.3137119068881
2014-07-03,6865.21,6727.32026607547,137.889733924526
2014-07-04,6866.05,6726.55559257398,139.494407426023
2014-07-07,6823.51,6725.76278996499,97.7472100350139
2014-07-08,6738.45,6724.94243828619,13.5075617138076
2014-07-09,6718.04,6724.09515798009,-6.05515798008991
2014-07-10,6672.37,6723.22157507258,-50.8515750725822
2014-07-11,6690.17,6722.32231308672,-32.1523130867162
2014-07-14,6746.14,6721.39797452551,24.7420254744891
2014-07-15,6710.45,6720.44914860143,-9.99914860143392
2014-07-16,6784.67,6719.47643475443,65.1935652455674
2014-07-17,6738.32,6718.48042829112,19.8395717088835
2014-07-18,6749.45,6717.4617514665,31.9882485334975
2014-07-21,6728.44,6716.42103473658,12.0189652634236
2014-07-22,6795.34,6715.35892177991,79.981078220094
2014-07-23,6798.15,6714.27606124319,83.8739387568142
2014-07-24,6821.46,6713.17313483409,108.286865165908
2014-07-25,6791.55,6712.05085893051,79.4991410694929
2014-07-28,6788.07,6710.90999467166,77.1600053283393
2014-07-29,6807.75,6709.75133605854,97.9986639414607
2014-07-30,6773.44,6708.57570898694,64.8642910130557
2014-07-31,6730.11,6707.38397986145,22.7260201385534
2014-08-01,6679.18,6706.17704189887,-26.9970418988656
2014-08-04,6677.52,6704.95579771007,-27.4357977100683
2014-08-05,6682.48,6703.7211387464,-21.2411387464006
2014-08-06,6636.16,6702.47394511838,-66.3139451183789
2014-08-07,6597.37,6701.2150881563,-103.845088156296
2014-08-08,6567.36,6699.94541177889,-132.585411778891
2014-08-11,6632.82,6698.66571697955,-65.84571697955
2014-08-12,6632.42,6697.37674994616,-64.9567499461645
2014-08-13,6656.68,6696.07922964866,-39.3992296486593
2014-08-14,6685.26,6694.77384820645,-9.51384820645325
2014-08-15,6689.08,6693.46128145291,-4.3812814529069
2014-08-18,6741.25,6692.14220128874,49.1077987112628
2014-08-19,6779.31,6690.81727780361,88.4927221963916
2014-08-20,6755.48,6689.48720138639,65.9927986136123
2014-08-21,6777.66,6688.15269900527,89.5073009947292
2014-08-22,6775.25,6686.81452490722,88.4354750927766
2014-08-26,6822.76,6685.47347033792,137.286529662079
2014-08-27,6830.66,6684.13036309872,146.52963690128
2014-08-28,6805.8,6682.7860877397,123.013912260298
2014-08-29,6819.75,6681.44158938041,138.308410619592
2014-09-01,6825.31,6680.09786398939,145.212136010615
2014-09-02,6829.17,6678.75596470631,150.414035293686
2014-09-03,6873.58,6677.41700469574,196.162995304265
2014-09-04,6877.97,6676.0821592973,201.887840702699
2014-09-05,6855.1,6674.75268493656,180.347315063442
2014-09-08,6834.77,6673.42992149138,161.340078508622
2014-09-09,6829,6672.11528338794,156.884716612062
2014-09-10,6830.11,6670.81025174394,159.299748256063
2014-09-11,6799.62,6669.5163725269,130.103627473104
2014-09-12,6806.96,6668.23525755246,138.72474244754
2014-09-15,6804.21,6666.96857241586,137.241427584136
2014-09-16,6792.24,6665.71804005557,126.521959944432
2014-09-17,6780.9,6664.48544014014,116.414559859859
2014-09-18,6819.29,6663.27260463726,156.017395362739
2014-09-19,6837.92,6662.08141363564,175.838586364364
2014-09-22,6773.63,6660.91381171536,112.716188284642
2014-09-23,6676.08,6659.77181614104,16.3081838589626
2014-09-24,6706.27,6658.65749076977,47.6125092302318
2014-09-25,6639.71,6657.57290619965,-17.86290619965
2014-09-26,6649.39,6656.52015270995,-7.13015270995143
2014-09-29,6646.6,6655.50131319615,-8.90131319614778
2014-09-30,6622.72,6654.51846760631,-31.7984676063142
2014-10-01,6557.52,6653.57369220913,-96.0536922091266
2014-10-02,6446.39,6652.66905012911,-206.279050129112
2014-10-03,6527.91,6651.80656478591,-123.896564785914
2014-10-06,6563.65,6650.9881743319,-87.3381743318959
2014-10-07,6495.58,6650.21576570549,-154.63576570549
2014-10-08,6482.24,6649.49118974299,-167.251189742986
2014-10-09,6431.85,6648.81623336047,-216.966233360472
2014-10-10,6339.97,6648.19261433921,-308.222614339214
2014-10-13,6366.24,6647.62196077524,-281.381960775243
