"PK0Date","PK0Close","PK0_hpft","PK0_hpfc"
2021-04-08,10576,10317.7990876587,258.200912341299
2021-04-09,10432,10301.9840271969,130.015972803118
2021-04-12,10376,10286.1237594974,89.8762405026231
2021-04-13,10340,10270.2181619751,69.7818380249114
2021-04-14,10344,10254.2671491962,89.7328508037758
2021-04-15,10364,10238.2706645718,125.729335428164
2021-04-16,10434,10222.228688605,211.771311394978
2021-04-19,10374,10206.1412537703,167.858746229687
2021-04-20,10408,10190.00848008,217.991519920007
2021-04-21,10350,10173.8305569324,176.169443067559
2021-04-22,10494,10157.6077638349,336.392236165101
2021-04-23,10486,10141.340453116,344.659546883993
2021-04-26,10466,10125.0291161554,340.970883844599
2021-04-27,10514,10108.6743868011,405.325613198878
2021-04-28,10390,10092.2770398449,297.722960155138
2021-04-29,10412,10075.8380176237,336.161982376333
2021-04-30,10418,10059.3583855412,358.641614458809
2021-05-06,10538,10042.8393479569,495.160652043072
2021-05-07,10572,10026.2822574786,545.7177425214
2021-05-10,10578,10009.6886713932,568.311328606752
2021-05-11,10304,9993.06037256568,310.939627434317
2021-05-12,10292,9976.39937877777,315.600621222227
2021-05-13,10264,9959.70783634133,304.29216365867
2021-05-14,10184,9942.98802202485,241.011977975149
2021-05-17,10238,9926.24233837896,311.757661621035
2021-05-18,10210,9909.47328757894,300.526712421064
2021-05-19,10140,9892.68350066804,247.316499331963
2021-05-20,10196,9875.87573291526,320.12426708474
2021-05-21,10346,9859.05284182031,486.947158179692
2021-05-24,10238,9842.21781720935,395.782182790649
2021-05-25,10280,9825.37385019296,454.626149807037
2021-05-26,10056,9808.52429548215,247.47570451785
2021-05-27,10040,9791.67269571206,248.327304287939
2021-05-28,10062,9774.82269581437,287.177304185634
2021-05-31,10024,9757.97804336926,266.021956630744
2021-06-01,10012,9741.14260466445,270.857395335547
2021-06-02,10050,9724.32035595051,325.67964404949
2021-06-03,10066,9707.51538543955,358.48461456045
2021-06-04,9984,9690.73191596644,293.268084033555
2021-06-07,9398,9673.97431854936,-275.97431854936
2021-06-08,9218,9657.24708543149,-439.247085431488
2021-06-09,9212,9640.55459477953,-428.554594779528
2021-06-10,9270,9623.90104319305,-353.901043193047
2021-06-11,9348,9607.29045012424,-259.290450124239
2021-06-15,9248,9590.72668873707,-342.726688737072
2021-06-16,9226,9574.21352501501,-348.213525015012
2021-06-17,9132,9557.75458327226,-425.754583272264
2021-06-18,8994,9541.35334388547,-547.353343885467
2021-06-21,8852,9525.01311124143,-673.013111241431
2021-06-22,8968,9508.73696347331,-540.736963473315
2021-06-23,9072,9492.52770051756,-420.52770051756
2021-06-24,9002,9476.3878987916,-474.387898791598
2021-06-25,9048,9460.3199608839,-412.319960883897
2021-06-28,9114,9444.32609328977,-330.326093289771
2021-06-29,9096,9428.40833206806,-332.408332068056
2021-06-30,9122,9412.56857673414,-290.568576734138
2021-07-01,9164,9396.80858939922,-232.808589399219
2021-07-02,9082,9381.13001206506,-299.130012065061
2021-07-05,9062,9365.53439049988,-303.534390499875
2021-07-06,9072,9350.02314682332,-278.023146823324
2021-07-07,9026,9334.59757768631,-308.597577686306
2021-07-08,9018,9319.25886481616,-301.258864816158
2021-07-09,9002,9304.00806237813,-302.008062378128
2021-07-12,8972,9288.84610000941,-316.84610000941
2021-07-13,8926,9273.77378250919,-347.773782509188
2021-07-14,8956,9258.79178370519,-302.791783705189
2021-07-15,8976,9243.90063366928,-267.90063366928
2021-07-16,9058,9229.10073731167,-171.100737311671
2021-07-19,9510,9214.39238880297,295.607611197032
2021-07-20,9442,9199.77581158787,242.224188412135
2021-07-21,9488,9185.25135130329,302.748648696709
2021-07-22,9270,9170.81945371166,99.18054628834
2021-07-23,9304,9156.4806897196,147.519310280396
2021-07-26,9324,9142.23567123108,181.764328768921
2021-07-27,9172,9128.08507112865,43.9149288713502
2021-07-28,9226,9114.02963742899,111.970362571006
2021-07-29,9242,9100.07013630111,141.929863698887
2021-07-30,9076,9086.20738019836,-10.2073801983561
2021-08-02,9042,9072.4422402423,-30.4422402423032
2021-08-03,9050,9058.77558333478,-8.77558333478081
2021-08-04,9138,9045.20826379436,92.7917362056364
2021-08-05,9078,9031.74113231205,46.2588676879552
2021-08-06,9064,9018.37507793521,45.6249220647877
2021-08-09,9132,9005.11100883281,126.888991167191
2021-08-10,9104,8991.94985203319,112.050147966811
2021-08-11,9116,8978.89258701557,137.107412984428
2021-08-12,9102,8965.94023957614,136.059760423855
2021-08-13,9146,8953.09389218585,192.906107814148
2021-08-16,9200,8940.35468355748,259.645316442525
2021-08-17,9326,8927.72383214319,398.276167856805
2021-08-18,9250,8915.20266372187,334.797336278131
2021-08-19,9080,8902.79266870442,177.20733129558
2021-08-20,8922,8890.49547589277,31.5045241072282
2021-08-23,9046,8878.31278733969,167.687212660314
2021-08-24,8892,8866.24631812042,25.7536818795836
2021-08-25,8732,8854.29785262567,-122.297852625674
2021-08-26,8668,8842.46918589122,-174.469185891217
2021-08-27,8744,8830.76206240006,-86.762062400058
2021-08-30,8628,8819.17815451685,-191.178154516846
2021-08-31,8656,8807.71909874192,-151.719098741917
2021-09-01,8452,8796.3864525507,-344.386452550699
2021-09-02,8512,8785.1817107035,-273.1817107035
2021-09-03,8652,8774.10622560557,-122.106225605569
2021-09-06,8672,8763.1612367395,-91.1612367395005
2021-09-07,8774,8752.34793311435,21.6520668856486
2021-09-08,8716,8741.66746605649,-25.6674660564933
2021-09-09,8700,8731.12099584282,-31.1209958428186
2021-09-10,8570,8720.70967213978,-150.709672139778
2021-09-13,8588,8710.43463175026,-122.434631750257
2021-09-14,8604,8700.29694917921,-96.296949179213
2021-09-15,8546,8690.29764832244,-144.297648322444
2021-09-16,8380,8680.43771327052,-300.437713270518
2021-09-17,8354,8670.71806846714,-316.718068467143
2021-09-22,8538,8661.13951416657,-123.139514166565
2021-09-23,8564,8651.70271970502,-87.7027197050154
2021-09-24,8546,8642.40830351783,-96.408303517827
2021-09-27,8594,8633.25684778755,-39.2568477875503
2021-09-28,8464,8624.24889484519,-160.248894845191
2021-09-29,8386,8615.3849707946,-229.3849707946
