"FG0Date","FG0Close","FG0_hpft","FG0_hpfc"
2012-12-04,1311,1429.01220249235,-118.012202492345
2012-12-05,1331,1429.70788796733,-98.7078879673334
2012-12-06,1325,1430.40352466082,-105.403524660823
2012-12-07,1331,1431.09902298944,-100.099022989442
2012-12-10,1336,1431.79424980025,-95.7942498002462
2012-12-11,1293,1432.48903056337,-139.48903056337
2012-12-12,1299,1433.18315115146,-134.183151151462
2012-12-13,1289,1433.87633977802,-144.876339778018
2012-12-14,1304,1434.56826919061,-130.568269190608
2012-12-17,1327,1435.25855225083,-108.258552250826
2012-12-18,1325,1435.94674784845,-110.946747848452
2012-12-19,1351,1436.6323701236,-85.6323701235969
2012-12-20,1350,1437.31488735545,-87.3148873554536
2012-12-21,1336,1437.99373242625,-101.993732426247
2012-12-24,1344,1438.66830212571,-94.6683021257084
2012-12-25,1352,1439.33795108348,-87.3379510834794
2012-12-26,1352,1440.00199479714,-88.0019947971447
2012-12-27,1352,1440.65971266228,-88.6597126622831
2012-12-28,1351,1441.31034769798,-90.3103476979783
2012-12-31,1363,1441.95310627496,-78.9531062749625
2013-01-04,1425,1442.58715743331,-17.5871574333063
2013-01-07,1445,1443.21163757703,1.78836242297395
2013-01-08,1457,1443.82567584034,13.1743241596635
2013-01-09,1476,1444.42840209667,31.5715979033318
2013-01-10,1463,1445.01895166518,17.981048334816
2013-01-11,1439,1445.59647291551,-6.5964729155074
2013-01-14,1502,1446.16012164988,55.8398783501231
2013-01-15,1497,1446.70905094382,50.2909490561814
2013-01-16,1500,1447.2424369548,52.7575630451956
2013-01-17,1506,1447.75947662858,58.2405233714224
2013-01-18,1496,1448.25938871877,47.7406112812302
2013-01-21,1501,1448.74141605323,52.2585839467708
2013-01-22,1490,1449.20482119397,40.795178806035
2013-01-23,1481,1449.6488883045,31.3511116955012
2013-01-24,1467,1450.07291841141,16.9270815885901
2013-01-25,1469,1450.47622550065,18.5237744993533
2013-01-28,1491,1450.85813055505,40.1418694449548
2013-01-29,1488,1451.21796221453,36.7820377854707
2013-01-30,1579,1451.55506571201,127.444934287987
2013-01-31,1585,1451.86880148454,133.131198515463
2013-02-01,1594,1452.1585826499,141.841417350104
2013-02-04,1632,1452.42387735689,179.576122643113
2013-02-05,1635,1452.66421238589,182.33578761411
2013-02-06,1629,1452.87918874675,176.120811253253
2013-02-07,1623,1453.06848281972,169.931517180278
2013-02-08,1634,1453.23184378621,180.768156213793
2013-02-18,1607,1453.36909107054,153.630908929458
2013-02-19,1614,1453.48011881926,160.519881180743
2013-02-20,1610,1453.56488468379,156.435115316208
2013-02-21,1558,1453.62341266807,104.376587331933
2013-02-22,1553,1453.65579144,99.3442085600026
