"US_PPIDate","US_PPI","US_PPI_hpft","US_PPI_hpfc"
2023-05-01,NA,5.03781219772688,-1.83781219772688
2023-04-01,3.2,5.33114100033896,-1.93114100033896
2023-03-01,3.4,5.62293829278627,-1.02293829278627
2023-02-01,4.6,5.91006328073708,-0.910063280737083
2023-01-01,5,6.18852272128233,-0.488522721282325
2022-12-01,5.7,6.45356498544569,-0.153564985445685
2022-11-01,6.3,6.70003134198313,0.199968658016873
2022-10-01,6.9,6.92263508882938,0.277364911170622
2022-09-01,7.2,7.11625616446755,0.0837438355324543
2022-08-01,7.2,7.27600564480668,0.323994355193319
2022-07-01,7.6,7.39706439228544,0.902935607714558
2022-06-01,8.3,7.47488326463846,1.12511673536154
2022-05-01,8.6,7.50566556594019,1.49433443405981
2022-04-01,9,7.48655219754456,2.21344780245544
2022-03-01,9.7,7.41592933950045,1.48407066049955
2022-02-01,8.9,7.29402771169225,1.30597228830775
2022-01-01,8.6,7.12231475955467,1.57768524044533
2021-12-01,8.7,6.90334623876271,1.09665376123729
2021-11-01,8,6.64099264269171,0.359007357308291
2021-10-01,7,6.34003834285141,0.659961657148588
2021-09-01,7,6.00556688354931,1.09443311645069
2021-08-01,7.1,5.64321177714051,0.756788222859491
2021-07-01,6.4,5.25951856357716,0.540481436422836
2021-06-01,5.8,4.86166343966381,0.438336560336194
2021-05-01,5.3,4.45727300340201,0.142726996597992
2021-04-01,4.6,4.05433913326028,-1.05433913326028
2021-03-01,3,3.66097264687093,-1.06097264687093
2021-02-01,2.6,3.28440574592192,-1.38440574592192
2021-01-01,1.9,2.93098648822883,-1.53098648822883
2020-12-01,1.4,2.60590926015222,-1.10590926015222
2020-11-01,1.5,2.31309262597924,-1.11309262597924
2020-10-01,1.2,2.05553355894683,-1.05553355894683
2020-09-01,1,1.83530145510368,-1.33530145510368
2020-08-01,0.5,1.65358609919933,-1.05358609919933
2020-07-01,0.6,1.51046452477068,-1.21046452477068
2020-06-01,0.3,1.4051357769387,-1.1051357769387
2020-05-01,0.3,1.33579018038707,-1.03579018038707
2020-04-01,0.3,1.29969711331861,-0.199697113318613
2020-03-01,1.1,1.29326279545252,-0.0932627954525214
2020-02-01,1.2,1.31272703224693,0.287272967753074
2020-01-01,1.6,1.35425191016372,-0.0542519101637225
2019-12-01,1.3,1.41423890980456,-0.214238909804561
2019-11-01,1.2,1.489044301846,0.110955698153997
2019-10-01,1.6,1.57484582453978,0.42515417546022
2019-09-01,2,1.66791367921939,0.63208632078061
2019-08-01,2.3,1.76487236236455,0.435127637635447
2019-07-01,2.2,1.86287310905565,0.337126890944352
2019-06-01,2.2,1.95942976073775,0.440570239262251
2019-05-01,2.4,2.05233709793171,0.447662902068289
2019-04-01,2.5,2.13975704302444,0.16024295697556
2019-03-01,2.3,2.22022457082125,0.279775429178753
2019-02-01,2.5,2.2924081919249,0.307591808075098
2019-01-01,2.6,2.35520956312917,0.544790436870826
2018-12-01,2.9,2.40778666773456,0.292213332265442
2018-11-01,2.7,2.44975148107226,0.250248518927745
2018-10-01,2.7,2.48095948958371,0.119040510416287
2018-09-01,2.6,2.50147472014282,0.0985252798571846
2018-08-01,2.6,2.51146040004879,0.288539599951212
2018-07-01,2.8,2.51116186100074,0.188838138999257
2018-06-01,2.7,2.5010648843644,-0.1010648843644
2018-05-01,2.4,2.48181261662132,-0.0818126166213219
2018-04-01,2.4,2.45396398351611,0.246036016483895
2018-03-01,2.7,2.41800973361284,0.0819902663871563
2018-02-01,2.5,2.37464564548933,-0.174645645489329
2018-01-01,2.2,2.32463582294537,-0.124635822945374
