"EURUSDDate","EURUSDClose","EURUSD_hpft","EURUSD_hpfc"
2011-01-20,1.349,1.37028941905248,-0.021289419052476
2011-01-21,1.362,1.37105031400182,-0.00905031400182388
2011-01-24,1.357,1.37181654436138,-0.0148165443613787
2011-01-25,1.359,1.37258793137619,-0.013587931376186
2011-01-26,1.369,1.37336429016675,-0.00436429016674594
2011-01-27,1.374,1.37414543023686,-0.000145430236857193
2011-01-28,1.361,1.37493115928629,-0.0139311592862908
2011-01-31,1.364,1.37572128495469,-0.0117212849546943
2011-02-01,1.376,1.37651560912315,-0.000515609123153153
2011-02-02,1.383,1.37731392882763,0.00568607117237204
2011-02-03,1.378,1.37811604089095,-0.000116040890946141
2011-02-04,1.358,1.37892174448634,-0.0209217444863418
2011-02-07,1.357,1.37973083873908,-0.0227308387390824
2011-02-08,1.365,1.38054311412622,-0.0155431141262156
2011-02-09,1.362,1.38135835172878,-0.0193583517287791
2011-02-10,1.364,1.38217632620291,-0.0181763262029126
2011-02-11,1.355,1.38299680420279,-0.0279968042027945
2011-02-14,1.347,1.38381954486924,-0.0368195448692393
2011-02-15,1.353,1.38464429577031,-0.0316442957703063
2011-02-16,1.352,1.38547078925434,-0.0334707892543376
2011-02-17,1.357,1.38629874458919,-0.029298744589195
2011-02-18,1.369,1.38712786720726,-0.0181278672072614
2011-02-21,1.369,1.38795785043,-0.018957850429998
2011-02-22,1.364,1.38878838008553,-0.0247883800855327
2011-02-23,1.372,1.38961913416558,-0.0176191341655834
2011-02-24,1.379,1.39044978041535,-0.0114497804153472
2011-02-25,1.375,1.39127997929698,-0.0162799792969788
2011-02-28,1.383,1.39210938653975,-0.00910938653975463
2011-03-01,1.385,1.39293765114346,-0.00793765114346148
2011-03-02,1.383,1.39376441834243,-0.0107644183424347
2011-03-03,1.386,1.3945893300899,-0.00858933008990363
2011-03-04,1.399,1.39541202388952,0.0035879761104846
2011-03-07,1.402,1.39623213369444,0.00576786630556161
2011-03-08,1.393,1.39704929494096,-0.00404929494095897
