"IF00C1Date","IF00C1Close","IF00C1_hpft","IF00C1_hpfc"
2010-04-19,3197.4,2837.72456187543,359.675438124568
2010-04-20,3214.6,2837.9159411524,376.684058847599
2010-04-21,3267.2,2838.10746910473,429.092530895267
2010-04-22,3236.2,2838.29945011383,397.900549886166
2010-04-23,3221.2,2838.4923659307,382.7076340693
2010-04-26,3219.6,2838.68686278243,380.913137217567
2010-04-27,3138.8,2838.88374509207,299.916254907928
2010-04-28,3129,2839.08397473682,289.916025263184
2010-04-29,3083.8,2839.2886375672,244.511362432799
2010-04-30,3107,2839.49893927329,267.501060726713
2010-05-04,3076.4,2839.71618661651,236.683813383491
2010-05-05,3076.4,2839.94179693234,236.458203067655
2010-05-06,2967.4,2840.17728539188,127.22271460812
2010-05-07,2897.6,2840.4242649085,57.1757350914965
2010-05-10,2918,2840.68440098437,77.3155990156268
2010-05-11,2801.6,2840.95938275577,-39.3593827557703
2010-05-12,2836.2,2841.25093131816,-5.0509313181581
2010-05-13,2894.6,2841.56075149735,53.039248502651
2010-05-14,2862.6,2841.89054603143,20.7094539685725
2010-05-17,2719,2842.24203958265,-123.242039582655
2010-05-18,2779,2842.61696537379,-63.6169653737868
2010-05-19,2763.4,2843.01700568431,-79.6170056843062
2010-05-20,2735,2843.44381649696,-108.443816496963
2010-05-21,2749.8,2843.89902088405,-94.0990208840486
2010-05-24,2902,2844.38419709157,57.6158029084307
2010-05-25,2813.2,2844.90088446874,-31.7008844687365
2010-05-26,2839.6,2845.45064618081,-5.85064618080642
2010-05-27,2901.4,2846.03503228928,55.3649677107233
2010-05-28,2865.2,2846.65559043707,18.5444095629347
2010-05-31,2792,2847.31389115282,-55.313891152821
2010-06-01,2762,2848.01151263084,-86.0115126308373
2010-06-02,2776.4,2848.75001020064,-72.3500102006379
2010-06-03,2748,2849.5309036381,-101.530903638104
2010-06-04,2761,2850.35568281254,-89.3556828125448
2010-06-07,2706.2,2851.22579562452,-145.025795624518
2010-06-08,2724.4,2852.14265303855,-127.742653038548
2010-06-09,2788.8,2853.10760607131,-64.307606071312
2010-06-10,2769.6,2854.12195293573,-84.5219529357297
2010-06-11,2765.8,2855.18696526264,-89.3869652626367
2010-06-17,2744.2,2856.30387974492,-112.103879744924
2010-06-18,2716.8,2857.47389612648,-140.673896126481
2010-06-21,2804.8,2858.69816781186,-53.8981678118586
2010-06-22,2797.6,2859.97779005671,-62.3777900567078
2010-06-23,2765.2,2861.31383583748,-96.1138358374794
2010-06-24,2771,2862.70735234597,-91.7073523459741
2010-06-25,2753.8,2864.15934704452,-110.359347044518
2010-06-28,2741.6,2865.67078948726,-124.070789487262
2010-06-29,2600.4,2867.24260361023,-266.842603610232
2010-06-30,2579,2868.87566206358,-289.875662063578
2010-07-01,2545.2,2870.57072719549,-325.370727195489
2010-07-02,2546,2872.32844153108,-326.328441531081
2010-07-05,2530.6,2874.14931310059,-343.549313100594
2010-07-06,2564.6,2876.03371504283,-311.433715042834
2010-07-07,2568.4,2877.98187848731,-309.581878487306
