"M0Date","M0Close","M0_hpft","M0_hpfc"
2010-01-04,3033,2824.58311247578,208.416887524217
2010-01-05,3032,2824.41374864694,207.586251353061
2010-01-06,3058,2824.24447096926,233.755529030745
2010-01-07,2988,2824.0754514017,163.924548598298
2010-01-08,2962,2823.90695852838,138.093041471619
2010-01-11,2985,2823.73932869322,161.26067130678
2010-01-12,2955,2823.57295532225,131.427044677751
2010-01-13,2869,2823.40829850018,45.5917014998245
2010-01-14,2881,2823.24587263837,57.7541273616338
2010-01-15,2886,2823.08621099392,62.9137890060816
2010-01-18,2904,2822.92987069725,81.0701293027489
2010-01-19,2910,2822.77743488476,87.2225651152381
2010-01-20,2870,2822.629520204,47.3704797960011
2010-01-21,2885,2822.4867793568,62.513220643203
2010-01-22,2870,2822.34988462605,47.6501153739542
2010-01-25,2870,2822.2195341351,47.7804658648977
2010-01-26,2843,2822.09644570393,20.9035542960743
2010-01-27,2852,2821.98135690302,30.0186430969765
2010-01-28,2807,2821.87501394359,-14.8750139435908
2010-01-29,2788,2821.77817544533,-33.7781754453329
2010-02-01,2721,2821.6915938792,-100.691593879203
2010-02-02,2698,2821.61600775361,-123.616007753614
2010-02-03,2742,2821.55211395516,-79.5521139551577
2010-02-04,2718,2821.50055827249,-103.500558272489
2010-02-05,2730,2821.46195361067,-91.4619536106679
2010-02-08,2756,2821.43687009173,-65.4368700917297
2010-02-09,2758,2821.42584003107,-63.4258400310665
2010-02-10,2742,2821.42936869508,-79.4293686950748
2010-02-11,2780,2821.44793513246,-41.447935132464
2010-02-12,2776,2821.48198555905,-45.4819855590462
2010-02-22,2813,2821.53194905771,-8.53194905770516
2010-02-23,2868,2821.59823591092,46.4017640890818
2010-02-24,2854,2821.68125287437,32.3187471256273
2010-02-25,2832,2821.78142588439,10.2185741156108
2010-02-26,2814,2821.89919423661,-7.89919423660619
2010-03-01,2851,2822.03500145055,28.9649985494546
2010-03-02,2821,2822.18928778052,-1.18928778051721
2010-03-03,2831,2822.36250545386,8.63749454613827
2010-03-04,2783,2822.55510620624,-39.5551062062367
2010-03-05,2777,2822.76754534379,-45.7675453437862
2010-03-08,2797,2823.00026182209,-26.0002618220937
2010-03-09,2794,2823.2536756783,-29.2536756783027
2010-03-10,2787,2823.52819620207,-36.5281962020673
2010-03-11,2784,2823.8242205908,-39.8242205907983
2010-03-12,2749,2824.14213094258,-75.1421309425774
2010-03-15,2749,2824.48229289376,-75.4822928937609
2010-03-16,2792,2824.84504101999,-32.8450410199896
2010-03-17,2798,2825.23067869553,-27.2306786955331
2010-03-18,2790,2825.63949571785,-35.6394957178512
2010-03-19,2833,2826.07177062836,6.92822937163751
2010-03-22,2828,2826.52776723649,1.47223276351212
2010-03-23,2827,2827.00775221557,-0.00775221557187677
2010-03-24,2813,2827.51199284749,-14.5119928474938
2010-03-25,2824,2828.04075641089,-4.04075641088761
2010-03-26,2814,2828.59430418575,-14.5943041857527
2010-03-29,2832,2829.17289578185,2.82710421815304
2010-03-30,2844,2829.77678477615,14.2232152238508
2010-03-31,2849,2830.40622591432,18.5937740856823
2010-04-01,2818,2831.06147982125,-13.0614798212548
2010-04-02,2830,2831.74281480781,-1.74281480781144
2010-04-06,2823,2832.45049378571,-9.45049378570948
2010-04-07,2840,2833.18477894637,6.81522105363248
2010-04-08,2826,2833.94592857462,-7.94592857462049
2010-04-09,2829,2834.73420377244,-5.73420377244411
2010-04-12,2844,2835.54986235737,8.45013764263389
2010-04-13,2856,2836.39315977667,19.6068402233275
2010-04-14,2865,2837.26435497045,27.7356450295516
2010-04-15,2864,2838.1637149836,25.8362850164003
2010-04-16,2884,2839.09151832578,44.9084816742213
2010-04-19,2858,2840.0480541863,17.9519458136995
2010-04-20,2891,2841.03363031786,49.9663696821421
2010-04-21,2885,2842.04856189368,42.9514381063236
2010-04-22,2888,2843.09318474117,44.9068152588257
2010-04-23,2918,2844.16785244212,73.8321475578784
2010-04-26,2929,2845.27293714103,83.7270628589674
2010-04-27,2917,2846.40884150156,70.5911584984384
2010-04-28,2896,2847.57600279676,48.4239972032427
2010-04-29,2900,2848.77488747929,51.2251125207058
2010-04-30,2922,2850.00598201842,71.9940179815787
2010-05-04,2920,2851.26979405765,68.7302059423546
2010-05-05,2937,2852.56686100002,84.4331389999783
2010-05-06,2892,2853.89774865884,38.1022513411601
2010-05-07,2854,2855.26305774867,-1.26305774867133
2010-05-10,2898,2856.66340473403,41.3365952659651
2010-05-11,2881,2858.09940555739,22.9005944426093
2010-05-12,2911,2859.57169324795,51.4283067520481
2010-05-13,2914,2861.08091030127,52.9190896987342
2010-05-14,2884,2862.62772047121,21.3722795287938
2010-05-17,2838,2864.21280938621,-26.2128093862075
2010-05-18,2855,2865.83687150921,-10.8368715092078
2010-05-19,2835,2867.50059046799,-32.5005904679908
2010-05-20,2839,2869.20464541051,-30.2046454105103
2010-05-21,2846,2870.9497020504,-24.949702050405
2010-05-24,2852,2872.73641361613,-20.7364136161317
2010-05-25,2823,2874.56542302263,-51.5654230226282
2010-05-26,2834,2876.43736461339,-42.4373646133885
2010-05-27,2838,2878.35285141679,-40.352851416788
2010-05-28,2828,2880.31247891935,-52.3124789193464
2010-05-31,2796,2882.31682592731,-86.3168259273125
