"GR_10yryDate","GR_10yryClose","GR_10yry_hpft","GR_10yry_hpfc"
2023-06-10,NA,2.38247980906694,0.0375201909330635
2023-06-09,2.42,2.38225934874258,0.0677406512574201
2023-06-08,2.45,2.38203890392756,-0.00203890392756201
2023-06-07,2.38,2.38181851813248,-0.0418185181324814
2023-06-06,2.34,2.38159823402514,-0.00159823402513721
2023-06-05,2.38,2.38137807698723,-0.0347114103205673
2023-06-04,2.34666666666667,2.38115807173983,-0.0678247384064979
2023-06-03,2.31333333333333,2.38093822865569,-0.100938228655686
2023-06-02,2.28,2.38071853007154,-0.090718530071536
2023-06-01,2.29,2.38049891660031,-0.100498916600313
2023-05-31,2.28,2.38027929135556,0.0297207086444403
2023-05-30,2.41,2.38005951590861,0.139940484091392
2023-05-29,2.52,2.37983946411613,0.140160535883866
2023-05-28,2.52,2.37961906768058,0.140380932319418
2023-05-26,2.52,2.37939831624113,0.100601683758873
2023-05-25,2.48,2.37917725746477,0.0808227425352262
2023-05-24,2.46,2.37895598060322,0.0710440193967786
2023-05-23,2.45,2.37873460831704,0.0312653916829608
2023-05-22,2.41,2.37851329263354,0.0448200406997959
2023-05-21,2.42333333333333,2.37829219850388,0.0583744681627858
2023-05-20,2.43666666666667,2.37807150940604,0.0719284905939603
2023-05-19,2.45,2.37785143294764,0.0221485670523623
2023-05-18,2.4,2.37763220646865,-0.0476322064686479
2023-05-17,2.33,2.37741407646437,-0.0874140764643713
2023-05-16,2.29,2.37719726974086,-0.0871972697408644
2023-05-15,2.29,2.37698197697072,-0.100315310304057
2023-05-14,2.27666666666667,2.3767683527827,-0.113435019449367
2023-05-13,2.26333333333333,2.37655651033923,-0.126556510339233
2023-05-12,2.25,2.37634651591328,-0.076346515913278
2023-05-11,2.3,2.37613838346442,-0.0361383834644241
2023-05-10,2.34,2.37593209539368,-0.0559320953936799
2023-05-09,2.32,2.3757276191639,-0.0757276191638968
2023-05-08,2.3,2.37552489911785,-0.100524899117848
2023-05-06,2.275,2.37532384829555,-0.125323848295555
2023-05-05,2.25,2.37512433818409,-0.115124338184092
2023-05-04,2.26,2.37492618846669,-0.134926188466687
2023-05-03,2.24,2.3747291712388,-0.0147291712388008
2023-05-02,2.36,2.37453300282283,-0.0170330028228317
2023-05-01,2.3575,2.37433739345273,-0.0193373934527294
2023-04-30,2.355,2.37414204632169,-0.0216420463216886
2023-04-29,2.3525,2.3739466566296,-0.0239466566296007
2023-04-28,2.35,2.37375091063041,0.0562490893695943
2023-04-27,2.43,2.37355448467946,-0.0435544846794605
2023-04-26,2.33,2.37335707838323,0.0766429216167699
2023-04-25,2.45,2.37315837334451,0.0868416266554915
2023-04-24,2.46,2.37295808284719,0.0803752504861398
2023-04-23,2.45333333333333,2.37275595607202,0.0739107105946463
2023-04-22,2.44666666666667,2.37255177542361,0.0674482245763878
2023-04-21,2.44,2.37234535385832,0.107654646141683
2023-04-20,2.48,2.37213653221287,0.137863467787133
2023-04-19,2.51,2.37192519582409,0.108074804175908
2023-04-18,2.48,2.37171128701603,0.0582887129839671
2023-04-17,2.43,2.37149479278652,0.0385052072134837
2023-04-16,2.41,2.37127572422757,0.018724275772431
2023-04-15,2.39,2.37105410834773,-0.00105410834773424
2023-04-14,2.37,2.37082997989541,-0.000829979895405447
2023-04-13,2.37,2.37060337318326,-0.0706033731832603
2023-04-12,2.3,2.37037432218089,-0.150374322180892
2023-04-11,2.22,2.3701428316733,-0.175142831673296
2023-04-10,2.195,2.36990884428677,-0.199908844286774
2023-04-09,2.17,2.36967223025062,-0.224672230250625
2023-04-07,2.145,2.36943277715986,-0.249432777159862
2023-04-06,2.12,2.36919017973905,-0.0991901797390453
2023-04-05,2.27,2.36894402960726,-0.0889440296072591
2023-04-04,2.28,2.36869387738233,-0.0286938773823323
2023-04-03,2.34,2.36843923691622,-0.0251059035828845
2023-04-02,2.34333333333333,2.36817961019998,-0.0215129435333122
2023-04-01,2.34666666666667,2.3679144888469,-0.0179144888469035
2023-03-31,2.35,2.36764335557769,-0.0676433555776934
2023-03-30,2.3,2.36736568570793,-0.0773656857079255
2023-03-29,2.29,2.36708092659213,-0.0670809265921321
2023-03-28,2.3,2.36678849360498,-0.19678849360498
2023-03-27,2.17,2.36648777439258,-0.243154441059252
2023-03-26,2.12333333333333,2.36617807525661,-0.289511408589945
2023-03-25,2.07666666666667,2.36585860198845,-0.335858601988452
2023-03-24,2.03,2.3655284407071,-0.115528440707099
2023-03-23,2.25,2.36518653870116,-0.0751865387011634
2023-03-22,2.29,2.3648317955044,-0.154831795504396
2023-03-21,2.21,2.36446307957146,-0.354463079571456
2023-03-20,2.01,2.36407919535578,-0.239079195355778
2023-03-19,2.125,2.36367880079,-0.123678800789996
2023-03-17,2.24,2.36326045498106,-0.0832604549810607
2023-03-16,2.28,2.36282266591206,-0.0328226659120613
2023-03-15,2.33,2.36236390714955,-0.00236390714955042
2023-03-14,2.36,2.36188263869251,-0.0818826386925114
2023-03-13,2.28,2.3613773195628,0.053622680437198
2023-03-12,2.415,2.36084637493525,0.189153625064753
2023-03-10,2.55,2.36028825215022,0.329711747849783
2023-03-09,2.69,2.35970147673649,0.340298523263508
2023-03-08,2.7,2.35908471051251,0.300915289487488
2023-03-07,2.66,2.35843675596235,0.30156324403765
2023-03-06,2.66,2.35775653995645,0.31557679337688
2023-03-05,2.67333333333333,2.35704311401929,0.329623552647379
2023-03-04,2.68666666666667,2.35629566012216,0.343704339877839
2023-03-03,2.7,2.35551349648943,0.404486503510566
