"SA0Date","SA0Close","SA0_hpft","SA0_hpfc"
2019-12-09,1572,1633.76885642965,-61.7688564296466
2019-12-10,1634,1631.52102077857,2.47897922142738
2019-12-11,1649,1629.27315959474,19.7268404052627
2019-12-12,1630,1627.02524837009,2.9747516299106
2019-12-13,1630,1624.77727075086,5.22272924913938
2019-12-16,1632,1622.52921161292,9.47078838707512
2019-12-17,1623,1620.28105799102,2.71894200897745
2019-12-18,1628,1618.03280083474,9.96719916526258
2019-12-19,1626,1615.78443221755,10.2155677824455
2019-12-20,1611,1613.53594833301,-2.53594833301036
2019-12-23,1601,1611.28734959732,-10.2873495973214
2019-12-24,1604,1609.03863537846,-5.03863537845767
2019-12-25,1603,1606.78980079201,-3.78980079201253
2019-12-26,1609,1604.54083887081,4.4591611291897
2019-12-27,1608,1602.29174108112,5.70825891887636
2019-12-30,1633,1600.04250073246,32.9574992675371
2019-12-31,1633,1597.7931134939,35.2068865060961
2020-01-02,1625,1595.54358865783,29.4564113421727
2020-01-03,1629,1593.29395006972,35.7060499302756
2020-01-06,1638,1591.04423375118,46.9557662488173
2020-01-07,1627,1588.79449048323,38.2055095167651
2020-01-08,1630,1586.54479045654,43.4552095434605
2020-01-09,1632,1584.29521965438,47.7047803456241
2020-01-10,1658,1582.04588202266,75.9541179773395
2020-01-13,1653,1579.79690122655,73.203098773453
2020-01-14,1653,1577.54843232757,75.4515676724341
2020-01-15,1665,1575.30066064647,89.699339353532
2020-01-16,1668,1573.05380269265,94.9461973073528
2020-01-17,1677,1570.8081120536,106.191887946404
2020-01-20,1667,1568.56388156375,98.4361184362508
2020-01-21,1655,1566.32144795299,88.6785520470061
2020-01-22,1642,1564.08118864076,77.9188113592432
2020-01-23,1615,1561.8435177026,53.1564822973955
2020-02-03,1519,1559.60888142261,-40.6088814226078
2020-02-04,1561,1557.3777480576,3.62225194240489
2020-02-05,1560,1555.15056907832,4.84943092168373
2020-02-06,1574,1552.9277974528,21.0722025471959
2020-02-07,1574,1550.70988815367,23.2901118463315
2020-02-10,1568,1548.4973048639,19.5026951360959
2020-02-11,1579,1546.29052089371,32.7094791062863
2020-02-12,1578,1544.09001761493,33.9099823850705
2020-02-13,1581,1541.89628992016,39.1037100798446
2020-02-14,1578,1539.70984671902,38.29015328098
2020-02-17,1586,1537.53121308507,48.46878691493
2020-02-18,1583,1535.36092991944,47.6390700805649
2020-02-19,1587,1533.19955815832,53.8004418416822
2020-02-20,1586,1531.04767842997,54.9523215700287
2020-02-21,1579,1528.90589360164,50.094106398364
2020-02-24,1587,1526.77482925558,60.2251707444243
2020-02-25,1605,1524.65513168096,80.34486831904
2020-02-26,1581,1522.54747206163,58.4525279383697
2020-02-27,1575,1520.45255479278,54.5474452072233
2020-02-28,1565,1518.3711084315,46.6288915684997
2020-03-02,1587,1516.30388408259,70.6961159174104
2020-03-03,1571,1514.25165212542,56.7483478745768
2020-03-04,1574,1512.21521216225,61.7847878377493
2020-03-05,1556,1510.19538725281,45.8046127471901
2020-03-06,1553,1508.19302599619,44.8069740038106
2020-03-09,1527,1506.2089959253,20.7910040746965
2020-03-10,1539,1504.24418309441,34.7558169055914
2020-03-11,1542,1502.29948215193,39.7005178480667
2020-03-12,1522,1500.37580211303,21.6241978869746
2020-03-13,1518,1498.47406840336,19.5259315966438
2020-03-16,1505,1496.59521538719,8.40478461281182
2020-03-17,1486,1494.74018550005,-8.74018550004623
2020-03-18,1466,1492.90992465164,-26.9099246516365
2020-03-19,1441,1491.10537513878,-50.1053751387801
2020-03-20,1450,1489.32746813496,-39.327468134963
2020-03-23,1427,1487.57711410199,-60.5771141019866
2020-03-24,1424,1485.85520724529,-61.8552072452941
2020-03-25,1419,1484.16261673021,-65.1626167302093
